,match_date,match_link,first_inn_team,first_inn_score,second_inn_team,second_inn_score,match_result
0,"Mar 31, 2023",https://www.espncricinfo.com/series/8048/scorecard/1359475/gujarat-titans-vs-chennai-super-kings-1st-match-indian-premier-league-2023,Chennai Super Kings 178/7 (20 ov),178/7 (20 ov),Gujarat Titans 182/5 (19.2/20 ov),182/5 (19.2/20 ov),Gujarat Titans won by 5 wickets (with 4 balls remaining)
1,"Apr 1, 2023",https://www.espncricinfo.com/series/8048/scorecard/1359476/punjab-kings-vs-kolkata-knight-riders-2nd-match-indian-premier-league-2023,Punjab Kings 191/5 (20 ov),191/5 (20 ov),"Kolkata Knight Riders 146/7 (16 ov, target: 154)","146/7 (16 ov, target: 154)",Punjab Kings won by 7 runs (DLS method)
2,"Apr 1, 2023",https://www.espncricinfo.com/series/8048/scorecard/1359477/lucknow-super-giants-vs-delhi-capitals-3rd-match-indian-premier-league-2023,Lucknow Super Giants 193/6 (20 ov),193/6 (20 ov),Delhi Capitals 143/9 (20 ov),143/9 (20 ov),Lucknow Super Giants won by 50 runs
3,"Apr 2, 2023",https://www.espncricinfo.com/series/8048/scorecard/1359478/sunrisers-hyderabad-vs-rajasthan-royals-4th-match-indian-premier-league-2023,Rajasthan Royals 203/5 (20 ov),203/5 (20 ov),Sunrisers Hyderabad 131/8 (20 ov),131/8 (20 ov),Rajasthan Royals won by 72 runs
4,"Apr 2, 2023",https://www.espncricinfo.com/series/8048/scorecard/1359479/royal-challengers-bangalore-vs-mumbai-indians-5th-match-indian-premier-league-2023,Mumbai Indians 171/7 (20 ov),171/7 (20 ov),RCB 172/2 (16.2/20 ov),172/2 (16.2/20 ov),Royal Challengers Bangalore won by 8 wickets (with 22 balls remaining)
5,"Apr 3, 2023",https://www.espncricinfo.com/series/8048/scorecard/1359480/chennai-super-kings-vs-lucknow-super-giants-6th-match-indian-premier-league-2023,Chennai Super Kings 217/7 (20 ov),217/7 (20 ov),Lucknow Super Giants 205/7 (20 ov),205/7 (20 ov),Chennai Super Kings won by 12 runs
6,"Apr 4, 2023",https://www.espncricinfo.com/series/8048/scorecard/1359481/delhi-capitals-vs-gujarat-titans-7th-match-indian-premier-league-2023,Delhi Capitals 162/8 (20 ov),162/8 (20 ov),Gujarat Titans 163/4 (18.1/20 ov),163/4 (18.1/20 ov),Gujarat Titans won by 6 wickets (with 11 balls remaining)
7,"Apr 5, 2023",https://www.espncricinfo.com/series/8048/scorecard/1359482/rajasthan-royals-vs-punjab-kings-8th-match-indian-premier-league-2023,Punjab Kings 197/4 (20 ov),197/4 (20 ov),Rajasthan Royals 192/7 (20 ov),192/7 (20 ov),Punjab Kings won by 5 runs
8,"Apr 6, 2023",https://www.espncricinfo.com/series/8048/scorecard/1359483/kolkata-knight-riders-vs-royal-challengers-bangalore-9th-match-indian-premier-league-2023,Kolkata Knight Riders 204/7 (20 ov),204/7 (20 ov),RCB 123 (17.4/20 ov),123 (17.4/20 ov),Kolkata Knight Riders won by 81 runs
9,"Apr 7, 2023",https://www.espncricinfo.com/series/8048/scorecard/1359484/lucknow-super-giants-vs-sunrisers-hyderabad-10th-match-indian-premier-league-2023,Sunrisers Hyderabad 121/8 (20 ov),121/8 (20 ov),Lucknow Super Giants 127/5 (16/20 ov),127/5 (16/20 ov),Lucknow Super Giants won by 5 wickets (with 24 balls remaining)
10,"Apr 8, 2023",https://www.espncricinfo.com/series/8048/scorecard/1359485/rajasthan-royals-vs-delhi-capitals-11th-match-indian-premier-league-2023,Rajasthan Royals 199/4 (20 ov),199/4 (20 ov),Delhi Capitals 142/9 (20 ov),142/9 (20 ov),Rajasthan Royals won by 57 runs
