,match_date,match_link,first_inn_team,first_inn_score,second_inn_team,second_inn_score,match_result
0,"Apr 7, 2018",https://www.espncricinfo.com/series/8048/scorecard/1136561/mumbai-indians-vs-chennai-super-kings-1st-match-indian-premier-league-2018,Mumbai Indians 165/4 (20 ov),165/4 (20 ov),Chennai Super Kings 169/9 (19.5/20 ov),169/9 (19.5/20 ov),Chennai Super Kings won by 1 wicket (with 1 ball remaining)
1,"Apr 8, 2018",https://www.espncricinfo.com/series/8048/scorecard/1136562/kings-xi-punjab-vs-delhi-daredevils-2nd-match-indian-premier-league-2018,Delhi Daredevils 166/7 (20 ov),166/7 (20 ov),Kings XI Punjab 167/4 (18.5/20 ov),167/4 (18.5/20 ov),Kings XI Punjab won by 6 wickets (with 7 balls remaining)
2,"Apr 8, 2018",https://www.espncricinfo.com/series/8048/scorecard/1136563/kolkata-knight-riders-vs-royal-challengers-bangalore-3rd-match-indian-premier-league-2018,RCB 176/7 (20 ov),176/7 (20 ov),Kolkata Knight Riders 177/6 (18.5/20 ov),177/6 (18.5/20 ov),Kolkata Knight Riders won by 4 wickets (with 7 balls remaining)
3,"Apr 9, 2018",https://www.espncricinfo.com/series/8048/scorecard/1136564/sunrisers-hyderabad-vs-rajasthan-royals-4th-match-indian-premier-league-2018,Rajasthan Royals 125/9 (20 ov),125/9 (20 ov),Sunrisers Hyderabad 127/1 (15.5/20 ov),127/1 (15.5/20 ov),Sunrisers Hyderabad won by 9 wickets (with 25 balls remaining)
4,"Apr 10, 2018",https://www.espncricinfo.com/series/8048/scorecard/1136565/chennai-super-kings-vs-kolkata-knight-riders-5th-match-indian-premier-league-2018,Kolkata Knight Riders 202/6 (20 ov),202/6 (20 ov),Chennai Super Kings 205/5 (19.5/20 ov),205/5 (19.5/20 ov),Chennai Super Kings won by 5 wickets (with 1 ball remaining)
5,"Apr 11, 2018",https://www.espncricinfo.com/series/8048/scorecard/1136566/rajasthan-royals-vs-delhi-daredevils-6th-match-indian-premier-league-2018,Rajasthan Royals 153/5 (17.5 ov),153/5 (17.5 ov),"Delhi Daredevils 60/4 (6 ov, target: 71)","60/4 (6 ov, target: 71)",Rajasthan Royals won by 10 runs (D/L method)
6,"Apr 12, 2018",https://www.espncricinfo.com/series/8048/scorecard/1136567/sunrisers-hyderabad-vs-mumbai-indians-7th-match-indian-premier-league-2018,Mumbai Indians 147/8 (20 ov),147/8 (20 ov),Sunrisers Hyderabad 151/9 (20 ov),151/9 (20 ov),Sunrisers Hyderabad won by 1 wicket (with 0 balls remaining)
7,"Apr 13, 2018",https://www.espncricinfo.com/series/8048/scorecard/1136568/royal-challengers-bangalore-vs-kings-xi-punjab-8th-match-indian-premier-league-2018,Kings XI Punjab 155 (19.2/20 ov),155 (19.2/20 ov),RCB 159/6 (19.3/20 ov),159/6 (19.3/20 ov),Royal Challengers Bangalore won by 4 wickets (with 3 balls remaining)
8,"Apr 14, 2018",https://www.espncricinfo.com/series/8048/scorecard/1136569/mumbai-indians-vs-delhi-daredevils-9th-match-indian-premier-league-2018,Mumbai Indians 194/7 (20 ov),194/7 (20 ov),Delhi Daredevils 195/3 (20 ov),195/3 (20 ov),Delhi Daredevils won by 7 wickets (with 0 balls remaining)
9,"Apr 14, 2018",https://www.espncricinfo.com/series/8048/scorecard/1136570/kolkata-knight-riders-vs-sunrisers-hyderabad-10th-match-indian-premier-league-2018,Kolkata Knight Riders 138/8 (20 ov),138/8 (20 ov),Sunrisers Hyderabad 139/5 (19/20 ov),139/5 (19/20 ov),Sunrisers Hyderabad won by 5 wickets (with 6 balls remaining)
10,"Apr 15, 2018",https://www.espncricinfo.com/series/8048/scorecard/1136571/royal-challengers-bangalore-vs-rajasthan-royals-11th-match-indian-premier-league-2018,Rajasthan Royals 217/4 (20 ov),217/4 (20 ov),RCB 198/6 (20 ov),198/6 (20 ov),Rajasthan Royals won by 19 runs
11,"Apr 15, 2018",https://www.espncricinfo.com/series/8048/scorecard/1136572/kings-xi-punjab-vs-chennai-super-kings-12th-match-indian-premier-league-2018,Kings XI Punjab 197/7 (20 ov),197/7 (20 ov),Chennai Super Kings 193/5 (20 ov),193/5 (20 ov),Kings XI Punjab won by 4 runs
12,"Apr 16, 2018",https://www.espncricinfo.com/series/8048/scorecard/1136573/kolkata-knight-riders-vs-delhi-daredevils-13th-match-indian-premier-league-2018,Kolkata Knight Riders 200/9 (20 ov),200/9 (20 ov),Delhi Daredevils 129 (14.2/20 ov),129 (14.2/20 ov),Kolkata Knight Riders won by 71 runs
13,"Apr 17, 2018",https://www.espncricinfo.com/series/8048/scorecard/1136574/mumbai-indians-vs-royal-challengers-bangalore-14th-match-indian-premier-league-2018,Mumbai Indians 213/6 (20 ov),213/6 (20 ov),RCB 167/8 (20 ov),167/8 (20 ov),Mumbai Indians won by 46 runs
