,match_date,match_link,first_inn_team,first_inn_score,second_inn_team,second_inn_score,match_result
0,"Sep 19, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216492/mumbai-indians-vs-chennai-super-kings-1st-match-indian-premier-league-2020-21,Mumbai Indians 162/9 (20 ov),162/9 (20 ov),Chennai Super Kings 166/5 (19.2/20 ov),166/5 (19.2/20 ov),Chennai Super Kings won by 5 wickets (with 4 balls remaining)
1,"Sep 20, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216493/delhi-capitals-vs-kings-xi-punjab-2nd-match-indian-premier-league-2020-21,Delhi Capitals 157/8 (20 ov),157/8 (20 ov),Kings XI Punjab 157/8 (20 ov),157/8 (20 ov),Match tied (Delhi Capitals won the one-over eliminator)
2,"Sep 21, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216534/sunrisers-hyderabad-vs-royal-challengers-bangalore-3rd-match-indian-premier-league-2020-21,RCB 163/5 (20 ov),163/5 (20 ov),Sunrisers Hyderabad 153 (19.4/20 ov),153 (19.4/20 ov),Royal Challengers Bangalore won by 10 runs
3,"Sep 22, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216496/rajasthan-royals-vs-chennai-super-kings-4th-match-indian-premier-league-2020-21,Rajasthan Royals 216/7 (20 ov),216/7 (20 ov),Chennai Super Kings 200/6 (20 ov),200/6 (20 ov),Rajasthan Royals won by 16 runs
4,"Sep 23, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216508/kolkata-knight-riders-vs-mumbai-indians-5th-match-indian-premier-league-2020-21,Mumbai Indians 195/5 (20 ov),195/5 (20 ov),Kolkata Knight Riders 146/9 (20 ov),146/9 (20 ov),Mumbai Indians won by 49 runs
5,"Sep 24, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216510/kings-xi-punjab-vs-royal-challengers-bangalore-6th-match-indian-premier-league-2020-21,Kings XI Punjab 206/3 (20 ov),206/3 (20 ov),RCB 109 (17/20 ov),109 (17/20 ov),Kings XI Punjab won by 97 runs
6,"Sep 25, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216539/chennai-super-kings-vs-delhi-capitals-7th-match-indian-premier-league-2020-21,Delhi Capitals 175/3 (20 ov),175/3 (20 ov),Chennai Super Kings 131/7 (20 ov),131/7 (20 ov),Delhi Capitals won by 44 runs
7,"Sep 26, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216545/kolkata-knight-riders-vs-sunrisers-hyderabad-8th-match-indian-premier-league-2020-21,Sunrisers Hyderabad 142/4 (20 ov),142/4 (20 ov),Kolkata Knight Riders 145/3 (18/20 ov),145/3 (18/20 ov),Kolkata Knight Riders won by 7 wickets (with 12 balls remaining)
8,"Sep 27, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216527/rajasthan-royals-vs-kings-xi-punjab-9th-match-indian-premier-league-2020-21,Kings XI Punjab 223/2 (20 ov),223/2 (20 ov),Rajasthan Royals 226/6 (19.3/20 ov),226/6 (19.3/20 ov),Rajasthan Royals won by 4 wickets (with 3 balls remaining)
9,"Sep 28, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216547/royal-challengers-bangalore-vs-mumbai-indians-10th-match-indian-premier-league-2020-21,RCB 201/3 (20 ov),201/3 (20 ov),Mumbai Indians 201/5 (20 ov),201/5 (20 ov),Match tied (Royal Challengers Bangalore won the one-over eliminator)
10,"Sep 29, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216532/delhi-capitals-vs-sunrisers-hyderabad-11th-match-indian-premier-league-2020-21,Sunrisers Hyderabad 162/4 (20 ov),162/4 (20 ov),Delhi Capitals 147/7 (20 ov),147/7 (20 ov),Sunrisers Hyderabad won by 15 runs
11,"Sep 30, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216504/rajasthan-royals-vs-kolkata-knight-riders-12th-match-indian-premier-league-2020-21,Kolkata Knight Riders 174/6 (20 ov),174/6 (20 ov),Rajasthan Royals 137/9 (20 ov),137/9 (20 ov),Kolkata Knight Riders won by 37 runs
12,"Oct 1, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216503/kings-xi-punjab-vs-mumbai-indians-13th-match-indian-premier-league-2020-21,Mumbai Indians 191/4 (20 ov),191/4 (20 ov),Kings XI Punjab 143/8 (20 ov),143/8 (20 ov),Mumbai Indians won by 48 runs
13,"Oct 2, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216516/chennai-super-kings-vs-sunrisers-hyderabad-14th-match-indian-premier-league-2020-21,Sunrisers Hyderabad 164/5 (20 ov),164/5 (20 ov),Chennai Super Kings 157/5 (20 ov),157/5 (20 ov),Sunrisers Hyderabad won by 7 runs
14,"Oct 3, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216514/royal-challengers-bangalore-vs-rajasthan-royals-15th-match-indian-premier-league-2020-21,Rajasthan Royals 154/6 (20 ov),154/6 (20 ov),RCB 158/2 (19.1/20 ov),158/2 (19.1/20 ov),Royal Challengers Bangalore won by 8 wickets (with 5 balls remaining)
15,"Oct 3, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216515/delhi-capitals-vs-kolkata-knight-riders-16th-match-indian-premier-league-2020-21,Delhi Capitals 228/4 (20 ov),228/4 (20 ov),Kolkata Knight Riders 210/8 (20 ov),210/8 (20 ov),Delhi Capitals won by 18 runs
16,"Oct 4, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216538/mumbai-indians-vs-sunrisers-hyderabad-17th-match-indian-premier-league-2020-21,Mumbai Indians 208/5 (20 ov),208/5 (20 ov),Sunrisers Hyderabad 174/7 (20 ov),174/7 (20 ov),Mumbai Indians won by 34 runs
17,"Oct 4, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216513/kings-xi-punjab-vs-chennai-super-kings-18th-match-indian-premier-league-2020-21,Kings XI Punjab 178/4 (20 ov),178/4 (20 ov),Chennai Super Kings 181/0 (17.4/20 ov),181/0 (17.4/20 ov),Chennai Super Kings won by 10 wickets (with 14 balls remaining)
18,"Oct 5, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216519/royal-challengers-bangalore-vs-delhi-capitals-19th-match-indian-premier-league-2020-21,Delhi Capitals 196/4 (20 ov),196/4 (20 ov),RCB 137/9 (20 ov),137/9 (20 ov),Delhi Capitals won by 59 runs
19,"Oct 6, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216511/mumbai-indians-vs-rajasthan-royals-20th-match-indian-premier-league-2020-21,Mumbai Indians 193/4 (20 ov),193/4 (20 ov),Rajasthan Royals 136 (18.1/20 ov),136 (18.1/20 ov),Mumbai Indians won by 57 runs
20,"Oct 7, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216501/kolkata-knight-riders-vs-chennai-super-kings-21st-match-indian-premier-league-2020-21,Kolkata Knight Riders 167 (20 ov),167 (20 ov),Chennai Super Kings 157/5 (20 ov),157/5 (20 ov),Kolkata Knight Riders won by 10 runs
21,"Oct 8, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216542/sunrisers-hyderabad-vs-kings-xi-punjab-22nd-match-indian-premier-league-2020-21,Sunrisers Hyderabad 201/6 (20 ov),201/6 (20 ov),Kings XI Punjab 132 (16.5/20 ov),132 (16.5/20 ov),Sunrisers Hyderabad won by 69 runs
22,"Oct 9, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216500/rajasthan-royals-vs-delhi-capitals-23rd-match-indian-premier-league-2020-21,Delhi Capitals 184/8 (20 ov),184/8 (20 ov),Rajasthan Royals 138 (19.4/20 ov),138 (19.4/20 ov),Delhi Capitals won by 46 runs
23,"Oct 10, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216523/kings-xi-punjab-vs-kolkata-knight-riders-24th-match-indian-premier-league-2020-21,Kolkata Knight Riders 164/6 (20 ov),164/6 (20 ov),Kings XI Punjab 162/5 (20 ov),162/5 (20 ov),Kolkata Knight Riders won by 2 runs
24,"Oct 10, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216525/chennai-super-kings-vs-royal-challengers-bangalore-25th-match-indian-premier-league-2020-21,RCB 169/4 (20 ov),169/4 (20 ov),Chennai Super Kings 132/8 (20 ov),132/8 (20 ov),Royal Challengers Bangalore won by 37 runs
25,"Oct 11, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216507/sunrisers-hyderabad-vs-rajasthan-royals-26th-match-indian-premier-league-2020-21,Sunrisers Hyderabad 158/4 (20 ov),158/4 (20 ov),Rajasthan Royals 163/5 (19.5/20 ov),163/5 (19.5/20 ov),Rajasthan Royals won by 5 wickets (with 1 ball remaining)
26,"Oct 11, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216529/mumbai-indians-vs-delhi-capitals-27th-match-indian-premier-league-2020-21,Delhi Capitals 162/4 (20 ov),162/4 (20 ov),Mumbai Indians 166/5 (19.4/20 ov),166/5 (19.4/20 ov),Mumbai Indians won by 5 wickets (with 2 balls remaining)
27,"Oct 12, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216540/royal-challengers-bangalore-vs-kolkata-knight-riders-28th-match-indian-premier-league-2020-21,RCB 194/2 (20 ov),194/2 (20 ov),Kolkata Knight Riders 112/9 (20 ov),112/9 (20 ov),Royal Challengers Bangalore won by 82 runs
28,"Oct 13, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216528/sunrisers-hyderabad-vs-chennai-super-kings-29th-match-indian-premier-league-2020-21,Chennai Super Kings 167/6 (20 ov),167/6 (20 ov),Sunrisers Hyderabad 147/8 (20 ov),147/8 (20 ov),Chennai Super Kings won by 20 runs
29,"Oct 14, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216543/delhi-capitals-vs-rajasthan-royals-30th-match-indian-premier-league-2020-21,Delhi Capitals 161/7 (20 ov),161/7 (20 ov),Rajasthan Royals 148/8 (20 ov),148/8 (20 ov),Delhi Capitals won by 13 runs
30,"Oct 15, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216531/royal-challengers-bangalore-vs-kings-xi-punjab-31st-match-indian-premier-league-2020-21,RCB 171/6 (20 ov),171/6 (20 ov),Kings XI Punjab 177/2 (20 ov),177/2 (20 ov),Kings XI Punjab won by 8 wickets (with 0 balls remaining)
31,"Oct 16, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216526/mumbai-indians-vs-kolkata-knight-riders-32nd-match-indian-premier-league-2020-21,Kolkata Knight Riders 148/5 (20 ov),148/5 (20 ov),Mumbai Indians 149/2 (16.5/20 ov),149/2 (16.5/20 ov),Mumbai Indians won by 8 wickets (with 19 balls remaining)
32,"Oct 17, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216522/rajasthan-royals-vs-royal-challengers-bangalore-33rd-match-indian-premier-league-2020-21,Rajasthan Royals 177/6 (20 ov),177/6 (20 ov),RCB 179/3 (19.4/20 ov),179/3 (19.4/20 ov),Royal Challengers Bangalore won by 7 wickets (with 2 balls remaining)
33,"Oct 17, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216509/delhi-capitals-vs-chennai-super-kings-34th-match-indian-premier-league-2020-21,Chennai Super Kings 179/4 (20 ov),179/4 (20 ov),Delhi Capitals 185/5 (19.5/20 ov),185/5 (19.5/20 ov),Delhi Capitals won by 5 wickets (with 1 ball remaining)
34,"Oct 18, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216512/sunrisers-hyderabad-vs-kolkata-knight-riders-35th-match-indian-premier-league-2020-21,Kolkata Knight Riders 163/5 (20 ov),163/5 (20 ov),Sunrisers Hyderabad 163/6 (20 ov),163/6 (20 ov),Match tied (Kolkata Knight Riders won the one-over eliminator)
35,"Oct 18, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216517/mumbai-indians-vs-kings-xi-punjab-36th-match-indian-premier-league-2020-21,Mumbai Indians 176/6 (20 ov),176/6 (20 ov),Kings XI Punjab 176/6 (20 ov),176/6 (20 ov),Match tied (Kings XI Punjab won the 2nd Super Over)
36,"Oct 19, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216533/chennai-super-kings-vs-rajasthan-royals-37th-match-indian-premier-league-2020-21,Chennai Super Kings 125/5 (20 ov),125/5 (20 ov),Rajasthan Royals 126/3 (17.3/20 ov),126/3 (17.3/20 ov),Rajasthan Royals won by 7 wickets (with 15 balls remaining)
37,"Oct 20, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216546/kings-xi-punjab-vs-delhi-capitals-38th-match-indian-premier-league-2020-21,Delhi Capitals 164/5 (20 ov),164/5 (20 ov),Kings XI Punjab 167/5 (19/20 ov),167/5 (19/20 ov),Kings XI Punjab won by 5 wickets (with 6 balls remaining)
38,"Oct 21, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216494/kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-indian-premier-league-2020-21,Kolkata Knight Riders 84/8 (20 ov),84/8 (20 ov),RCB 85/2 (13.3/20 ov),85/2 (13.3/20 ov),Royal Challengers Bangalore won by 8 wickets (with 39 balls remaining)
39,"Oct 22, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216518/rajasthan-royals-vs-sunrisers-hyderabad-40th-match-indian-premier-league-2020-21,Rajasthan Royals 154/6 (20 ov),154/6 (20 ov),Sunrisers Hyderabad 156/2 (18.1/20 ov),156/2 (18.1/20 ov),Sunrisers Hyderabad won by 8 wickets (with 11 balls remaining)
40,"Oct 23, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216521/chennai-super-kings-vs-mumbai-indians-41st-match-indian-premier-league-2020-21,Chennai Super Kings 114/9 (20 ov),114/9 (20 ov),Mumbai Indians 116/0 (12.2/20 ov),116/0 (12.2/20 ov),Mumbai Indians won by 10 wickets (with 46 balls remaining)
41,"Oct 24, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216497/kolkata-knight-riders-vs-delhi-capitals-42nd-match-indian-premier-league-2020-21,Kolkata Knight Riders 194/6 (20 ov),194/6 (20 ov),Delhi Capitals 135/9 (20 ov),135/9 (20 ov),Kolkata Knight Riders won by 59 runs
42,"Oct 24, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216498/kings-xi-punjab-vs-sunrisers-hyderabad-43rd-match-indian-premier-league-2020-21,Kings XI Punjab 126/7 (20 ov),126/7 (20 ov),Sunrisers Hyderabad 114 (19.5/20 ov),114 (19.5/20 ov),Kings XI Punjab won by 12 runs
43,"Oct 25, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216544/royal-challengers-bangalore-vs-chennai-super-kings-44th-match-indian-premier-league-2020-21,RCB 145/6 (20 ov),145/6 (20 ov),Chennai Super Kings 150/2 (18.4/20 ov),150/2 (18.4/20 ov),Chennai Super Kings won by 8 wickets (with 8 balls remaining)
44,"Oct 25, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216541/rajasthan-royals-vs-mumbai-indians-45th-match-indian-premier-league-2020-21,Mumbai Indians 195/5 (20 ov),195/5 (20 ov),Rajasthan Royals 196/2 (18.2/20 ov),196/2 (18.2/20 ov),Rajasthan Royals won by 8 wickets (with 10 balls remaining)
45,"Oct 26, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216520/kolkata-knight-riders-vs-kings-xi-punjab-46th-match-indian-premier-league-2020-21,Kolkata Knight Riders 149/9 (20 ov),149/9 (20 ov),Kings XI Punjab 150/2 (18.5/20 ov),150/2 (18.5/20 ov),Kings XI Punjab won by 8 wickets (with 7 balls remaining)
46,"Oct 27, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216524/sunrisers-hyderabad-vs-delhi-capitals-47th-match-indian-premier-league-2020-21,Sunrisers Hyderabad 219/2 (20 ov),219/2 (20 ov),Delhi Capitals 131 (19/20 ov),131 (19/20 ov),Sunrisers Hyderabad won by 88 runs
47,"Oct 28, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216499/mumbai-indians-vs-royal-challengers-bangalore-48th-match-indian-premier-league-2020-21,RCB 164/6 (20 ov),164/6 (20 ov),Mumbai Indians 166/5 (19.1/20 ov),166/5 (19.1/20 ov),Mumbai Indians won by 5 wickets (with 5 balls remaining)
48,"Oct 29, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216536/chennai-super-kings-vs-kolkata-knight-riders-49th-match-indian-premier-league-2020-21,Kolkata Knight Riders 172/5 (20 ov),172/5 (20 ov),Chennai Super Kings 178/4 (20 ov),178/4 (20 ov),Chennai Super Kings won by 6 wickets (with 0 balls remaining)
49,"Oct 30, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216537/kings-xi-punjab-vs-rajasthan-royals-50th-match-indian-premier-league-2020-21,Kings XI Punjab 185/4 (20 ov),185/4 (20 ov),Rajasthan Royals 186/3 (17.3/20 ov),186/3 (17.3/20 ov),Rajasthan Royals won by 7 wickets (with 15 balls remaining)
50,"Oct 31, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216535/delhi-capitals-vs-mumbai-indians-51st-match-indian-premier-league-2020-21,Delhi Capitals 110/9 (20 ov),110/9 (20 ov),Mumbai Indians 111/1 (14.2/20 ov),111/1 (14.2/20 ov),Mumbai Indians won by 9 wickets (with 34 balls remaining)
51,"Oct 31, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216502/royal-challengers-bangalore-vs-sunrisers-hyderabad-52nd-match-indian-premier-league-2020-21,RCB 120/7 (20 ov),120/7 (20 ov),Sunrisers Hyderabad 121/5 (14.1/20 ov),121/5 (14.1/20 ov),Sunrisers Hyderabad won by 5 wickets (with 35 balls remaining)
52,"Nov 1, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216506/chennai-super-kings-vs-kings-xi-punjab-53rd-match-indian-premier-league-2020-21,Kings XI Punjab 153/6 (20 ov),153/6 (20 ov),Chennai Super Kings 154/1 (18.5/20 ov),154/1 (18.5/20 ov),Chennai Super Kings won by 9 wickets (with 7 balls remaining)
53,"Nov 1, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216530/kolkata-knight-riders-vs-rajasthan-royals-54th-match-indian-premier-league-2020-21,Kolkata Knight Riders 191/7 (20 ov),191/7 (20 ov),Rajasthan Royals 131/9 (20 ov),131/9 (20 ov),Kolkata Knight Riders won by 60 runs
54,"Nov 2, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216505/delhi-capitals-vs-royal-challengers-bangalore-55th-match-indian-premier-league-2020-21,RCB 152/7 (20 ov),152/7 (20 ov),Delhi Capitals 154/4 (19/20 ov),154/4 (19/20 ov),Delhi Capitals won by 6 wickets (with 6 balls remaining)
55,"Nov 3, 2020",https://www.espncricinfo.com/series/8048/scorecard/1216495/sunrisers-hyderabad-vs-mumbai-indians-56th-match-indian-premier-league-2020-21,Mumbai Indians 149/8 (20 ov),149/8 (20 ov),Sunrisers Hyderabad 151/0 (17.1/20 ov),151/0 (17.1/20 ov),Sunrisers Hyderabad won by 10 wickets (with 17 balls remaining)
56,"Nov 5, 2020",https://www.espncricinfo.com/series/8048/scorecard/1237177/delhi-capitals-vs-mumbai-indians-qualifier-1-indian-premier-league-2020-21,Mumbai Indians 200/5 (20 ov),200/5 (20 ov),Delhi Capitals 143/8 (20 ov),143/8 (20 ov),Mumbai Indians won by 57 runs
57,"Nov 6, 2020",https://www.espncricinfo.com/series/8048/scorecard/1237178/royal-challengers-bangalore-vs-sunrisers-hyderabad-eliminator-indian-premier-league-2020-21,RCB 131/7 (20 ov),131/7 (20 ov),Sunrisers Hyderabad 132/4 (19.4/20 ov),132/4 (19.4/20 ov),Sunrisers Hyderabad won by 6 wickets (with 2 balls remaining)
