,match_date,match_link,first_inn_team,first_inn_score,second_inn_team,second_inn_score,match_result
0,"Mar 23, 2019",https://www.espncricinfo.com/series/8048/scorecard/1175356/chennai-super-kings-vs-royal-challengers-bangalore-1st-match-indian-premier-league-2019,RCB 70 (17.1/20 ov),70 (17.1/20 ov),Chennai Super Kings 71/3 (17.4/20 ov),71/3 (17.4/20 ov),Chennai Super Kings won by 7 wickets (with 14 balls remaining)
1,"Mar 24, 2019",https://www.espncricinfo.com/series/8048/scorecard/1175357/kolkata-knight-riders-vs-sunrisers-hyderabad-2nd-match-indian-premier-league-2019,Sunrisers Hyderabad 181/3 (20 ov),181/3 (20 ov),Kolkata Knight Riders 183/4 (19.4/20 ov),183/4 (19.4/20 ov),Kolkata Knight Riders won by 6 wickets (with 2 balls remaining)
2,"Mar 24, 2019",https://www.espncricinfo.com/series/8048/scorecard/1175358/mumbai-indians-vs-delhi-capitals-3rd-match-indian-premier-league-2019,Delhi Capitals 213/6 (20 ov),213/6 (20 ov),Mumbai Indians 176 (19.2/20 ov),176 (19.2/20 ov),Delhi Capitals won by 37 runs
3,"Mar 25, 2019",https://www.espncricinfo.com/series/8048/scorecard/1175359/rajasthan-royals-vs-kings-xi-punjab-4th-match-indian-premier-league-2019,Kings XI Punjab 184/4 (20 ov),184/4 (20 ov),Rajasthan Royals 170/9 (20 ov),170/9 (20 ov),Kings XI Punjab won by 14 runs
4,"Mar 26, 2019",https://www.espncricinfo.com/series/8048/scorecard/1175360/delhi-capitals-vs-chennai-super-kings-5th-match-indian-premier-league-2019,Delhi Capitals 147/6 (20 ov),147/6 (20 ov),Chennai Super Kings 150/4 (19.4/20 ov),150/4 (19.4/20 ov),Chennai Super Kings won by 6 wickets (with 2 balls remaining)
5,"Mar 27, 2019",https://www.espncricinfo.com/series/8048/scorecard/1175361/kolkata-knight-riders-vs-kings-xi-punjab-6th-match-indian-premier-league-2019,Kolkata Knight Riders 218/4 (20 ov),218/4 (20 ov),Kings XI Punjab 190/4 (20 ov),190/4 (20 ov),Kolkata Knight Riders won by 28 runs
6,"Mar 28, 2019",https://www.espncricinfo.com/series/8048/scorecard/1175362/royal-challengers-bangalore-vs-mumbai-indians-7th-match-indian-premier-league-2019,Mumbai Indians 187/8 (20 ov),187/8 (20 ov),RCB 181/5 (20 ov),181/5 (20 ov),Mumbai Indians won by 6 runs
7,"Mar 29, 2019",https://www.espncricinfo.com/series/8048/scorecard/1175363/sunrisers-hyderabad-vs-rajasthan-royals-8th-match-indian-premier-league-2019,Rajasthan Royals 198/2 (20 ov),198/2 (20 ov),Sunrisers Hyderabad 201/5 (19/20 ov),201/5 (19/20 ov),Sunrisers Hyderabad won by 5 wickets (with 6 balls remaining)
8,"Mar 30, 2019",https://www.espncricinfo.com/series/8048/scorecard/1175364/kings-xi-punjab-vs-mumbai-indians-9th-match-indian-premier-league-2019,Mumbai Indians 176/7 (20 ov),176/7 (20 ov),Kings XI Punjab 177/2 (18.4/20 ov),177/2 (18.4/20 ov),Kings XI Punjab won by 8 wickets (with 8 balls remaining)
9,"Mar 30, 2019",https://www.espncricinfo.com/series/8048/scorecard/1175365/delhi-capitals-vs-kolkata-knight-riders-10th-match-indian-premier-league-2019,Kolkata Knight Riders 185/8 (20 ov),185/8 (20 ov),Delhi Capitals 185/6 (20 ov),185/6 (20 ov),Match tied (Delhi Capitals won the one-over eliminator)
