,match_date,match_link,first_inn_team,first_inn_score,second_inn_team,second_inn_score,match_result
0,"Mar 22, 2024",https://www.espncricinfo.com/series/8048/scorecard/1422119/chennai-super-kings-vs-royal-challengers-bengaluru-1st-match-indian-premier-league-2024,RCB 173/6 (20 ov),173/6 (20 ov),Chennai Super Kings 176/4 (18.4/20 ov),176/4 (18.4/20 ov),Chennai Super Kings won by 6 wickets (with 8 balls remaining)
1,"Mar 23, 2024",https://www.espncricinfo.com/series/8048/scorecard/1422120/punjab-kings-vs-delhi-capitals-2nd-match-indian-premier-league-2024,Delhi Capitals 174/9 (20 ov),174/9 (20 ov),Punjab Kings 177/6 (19.2/20 ov),177/6 (19.2/20 ov),Punjab Kings won by 4 wickets (with 4 balls remaining)
2,"Mar 23, 2024",https://www.espncricinfo.com/series/8048/scorecard/1422121/kolkata-knight-riders-vs-sunrisers-hyderabad-3rd-match-indian-premier-league-2024,Kolkata Knight Riders 208/7 (20 ov),208/7 (20 ov),Sunrisers Hyderabad 204/7 (20 ov),204/7 (20 ov),Kolkata Knight Riders won by 4 runs
3,"Mar 24, 2024",https://www.espncricinfo.com/series/8048/scorecard/1422122/rajasthan-royals-vs-lucknow-super-giants-4th-match-indian-premier-league-2024,Rajasthan Royals 193/4 (20 ov),193/4 (20 ov),Lucknow Super Giants 173/6 (20 ov),173/6 (20 ov),Rajasthan Royals won by 20 runs
4,"Mar 24, 2024",https://www.espncricinfo.com/series/8048/scorecard/1422123/gujarat-titans-vs-mumbai-indians-5th-match-indian-premier-league-2024,Gujarat Titans 168/6 (20 ov),168/6 (20 ov),Mumbai Indians 162/9 (20 ov),162/9 (20 ov),Gujarat Titans won by 6 runs
5,"Mar 25, 2024",https://www.espncricinfo.com/series/8048/scorecard/1422124/royal-challengers-bengaluru-vs-punjab-kings-6th-match-indian-premier-league-2024,Punjab Kings 176/6 (20 ov),176/6 (20 ov),RCB 178/6 (19.2/20 ov),178/6 (19.2/20 ov),Royal Challengers Bengaluru won by 4 wickets (with 4 balls remaining)
6,"Mar 26, 2024",https://www.espncricinfo.com/series/8048/scorecard/1422125/chennai-super-kings-vs-gujarat-titans-7th-match-indian-premier-league-2024,Chennai Super Kings 206/6 (20 ov),206/6 (20 ov),Gujarat Titans 143/8 (20 ov),143/8 (20 ov),Chennai Super Kings won by 63 runs
7,"Mar 27, 2024",https://www.espncricinfo.com/series/8048/scorecard/1422126/sunrisers-hyderabad-vs-mumbai-indians-8th-match-indian-premier-league-2024,Sunrisers Hyderabad 277/3 (20 ov),277/3 (20 ov),Mumbai Indians 246/5 (20 ov),246/5 (20 ov),Sunrisers Hyderabad won by 31 runs
8,"Mar 28, 2024",https://www.espncricinfo.com/series/8048/scorecard/1422127/rajasthan-royals-vs-delhi-capitals-9th-match-indian-premier-league-2024,Rajasthan Royals 185/5 (20 ov),185/5 (20 ov),Delhi Capitals 173/5 (20 ov),173/5 (20 ov),Rajasthan Royals won by 12 runs
9,"Mar 29, 2024",https://www.espncricinfo.com/series/8048/scorecard/1422128/royal-challengers-bengaluru-vs-kolkata-knight-riders-10th-match-indian-premier-league-2024,RCB 182/6 (20 ov),182/6 (20 ov),Kolkata Knight Riders 186/3 (16.5/20 ov),186/3 (16.5/20 ov),Kolkata Knight Riders won by 7 wickets (with 19 balls remaining)
10,"Mar 30, 2024",https://www.espncricinfo.com/series/8048/scorecard/1422129/lucknow-super-giants-vs-punjab-kings-11th-match-indian-premier-league-2024,Lucknow Super Giants 199/8 (20 ov),199/8 (20 ov),Punjab Kings 178/5 (20 ov),178/5 (20 ov),Lucknow Super Giants won by 21 runs
11,"Mar 31, 2024",https://www.espncricinfo.com/series/8048/scorecard/1422130/gujarat-titans-vs-sunrisers-hyderabad-12th-match-indian-premier-league-2024,Sunrisers Hyderabad 162/8 (20 ov),162/8 (20 ov),Gujarat Titans 168/3 (19.1/20 ov),168/3 (19.1/20 ov),Gujarat Titans won by 7 wickets (with 5 balls remaining)
12,"Mar 31, 2024",https://www.espncricinfo.com/series/8048/scorecard/1422131/delhi-capitals-vs-chennai-super-kings-13th-match-indian-premier-league-2024,Delhi Capitals 191/5 (20 ov),191/5 (20 ov),Chennai Super Kings 171/6 (20 ov),171/6 (20 ov),Delhi Capitals won by 20 runs
