,match_date,match_link,first_inn_team,first_inn_score,second_inn_team,second_inn_score,match_result
0,"Apr 9, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254058/mumbai-indians-vs-royal-challengers-bangalore-1st-match-indian-premier-league-2021,Mumbai Indians 159/9 (20 ov),159/9 (20 ov),RCB 160/8 (20 ov),160/8 (20 ov),Royal Challengers Bangalore won by 2 wickets (with 0 balls remaining)
1,"Apr 10, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254059/chennai-super-kings-vs-delhi-capitals-2nd-match-indian-premier-league-2021,Chennai Super Kings 188/7 (20 ov),188/7 (20 ov),Delhi Capitals 190/3 (18.4/20 ov),190/3 (18.4/20 ov),Delhi Capitals won by 7 wickets (with 8 balls remaining)
2,"Apr 11, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254060/sunrisers-hyderabad-vs-kolkata-knight-riders-3rd-match-indian-premier-league-2021,Kolkata Knight Riders 187/6 (20 ov),187/6 (20 ov),Sunrisers Hyderabad 177/5 (20 ov),177/5 (20 ov),Kolkata Knight Riders won by 10 runs
3,"Apr 12, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254061/rajasthan-royals-vs-punjab-kings-4th-match-indian-premier-league-2021,Punjab Kings 221/6 (20 ov),221/6 (20 ov),Rajasthan Royals 217/7 (20 ov),217/7 (20 ov),Punjab Kings won by 4 runs
4,"Apr 13, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254062/kolkata-knight-riders-vs-mumbai-indians-5th-match-indian-premier-league-2021,Mumbai Indians 152 (20 ov),152 (20 ov),Kolkata Knight Riders 142/7 (20 ov),142/7 (20 ov),Mumbai Indians won by 10 runs
5,"Apr 14, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254063/sunrisers-hyderabad-vs-royal-challengers-bangalore-6th-match-indian-premier-league-2021,RCB 149/8 (20 ov),149/8 (20 ov),Sunrisers Hyderabad 143/9 (20 ov),143/9 (20 ov),Royal Challengers Bangalore won by 6 runs
6,"Apr 15, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254064/rajasthan-royals-vs-delhi-capitals-7th-match-indian-premier-league-2021,Delhi Capitals 147/8 (20 ov),147/8 (20 ov),Rajasthan Royals 150/7 (19.4/20 ov),150/7 (19.4/20 ov),Rajasthan Royals won by 3 wickets (with 2 balls remaining)
7,"Apr 16, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254065/punjab-kings-vs-chennai-super-kings-8th-match-indian-premier-league-2021,Punjab Kings 106/8 (20 ov),106/8 (20 ov),Chennai Super Kings 107/4 (15.4/20 ov),107/4 (15.4/20 ov),Chennai Super Kings won by 6 wickets (with 26 balls remaining)
8,"Apr 17, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254066/mumbai-indians-vs-sunrisers-hyderabad-9th-match-indian-premier-league-2021,Mumbai Indians 150/5 (20 ov),150/5 (20 ov),Sunrisers Hyderabad 137 (19.4/20 ov),137 (19.4/20 ov),Mumbai Indians won by 13 runs
9,"Apr 18, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254067/royal-challengers-bangalore-vs-kolkata-knight-riders-10th-match-indian-premier-league-2021,RCB 204/4 (20 ov),204/4 (20 ov),Kolkata Knight Riders 166/8 (20 ov),166/8 (20 ov),Royal Challengers Bangalore won by 38 runs
10,"Apr 18, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254068/delhi-capitals-vs-punjab-kings-11th-match-indian-premier-league-2021,Punjab Kings 195/4 (20 ov),195/4 (20 ov),Delhi Capitals 198/4 (18.2/20 ov),198/4 (18.2/20 ov),Delhi Capitals won by 6 wickets (with 10 balls remaining)
11,"Apr 19, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254069/chennai-super-kings-vs-rajasthan-royals-12th-match-indian-premier-league-2021,Chennai Super Kings 188/9 (20 ov),188/9 (20 ov),Rajasthan Royals 143/9 (20 ov),143/9 (20 ov),Chennai Super Kings won by 45 runs
12,"Apr 20, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254070/delhi-capitals-vs-mumbai-indians-13th-match-indian-premier-league-2021,Mumbai Indians 137/9 (20 ov),137/9 (20 ov),Delhi Capitals 138/4 (19.1/20 ov),138/4 (19.1/20 ov),Delhi Capitals won by 6 wickets (with 5 balls remaining)
13,"Apr 21, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254071/punjab-kings-vs-sunrisers-hyderabad-14th-match-indian-premier-league-2021,Punjab Kings 120 (19.4/20 ov),120 (19.4/20 ov),Sunrisers Hyderabad 121/1 (18.4/20 ov),121/1 (18.4/20 ov),Sunrisers Hyderabad won by 9 wickets (with 8 balls remaining)
14,"Apr 21, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254072/kolkata-knight-riders-vs-chennai-super-kings-15th-match-indian-premier-league-2021,Chennai Super Kings 220/3 (20 ov),220/3 (20 ov),Kolkata Knight Riders 202 (19.1/20 ov),202 (19.1/20 ov),Chennai Super Kings won by 18 runs
15,"Apr 22, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254073/royal-challengers-bangalore-vs-rajasthan-royals-16th-match-indian-premier-league-2021,Rajasthan Royals 177/9 (20 ov),177/9 (20 ov),RCB 181/0 (16.3/20 ov),181/0 (16.3/20 ov),Royal Challengers Bangalore won by 10 wickets (with 21 balls remaining)
16,"Apr 23, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254074/punjab-kings-vs-mumbai-indians-17th-match-indian-premier-league-2021,Mumbai Indians 131/6 (20 ov),131/6 (20 ov),Punjab Kings 132/1 (17.4/20 ov),132/1 (17.4/20 ov),Punjab Kings won by 9 wickets (with 14 balls remaining)
17,"Apr 24, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254075/rajasthan-royals-vs-kolkata-knight-riders-18th-match-indian-premier-league-2021,Kolkata Knight Riders 133/9 (20 ov),133/9 (20 ov),Rajasthan Royals 134/4 (18.5/20 ov),134/4 (18.5/20 ov),Rajasthan Royals won by 6 wickets (with 7 balls remaining)
18,"Apr 25, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254076/chennai-super-kings-vs-royal-challengers-bangalore-19th-match-indian-premier-league-2021,Chennai Super Kings 191/4 (20 ov),191/4 (20 ov),RCB 122/9 (20 ov),122/9 (20 ov),Chennai Super Kings won by 69 runs
19,"Apr 25, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254077/sunrisers-hyderabad-vs-delhi-capitals-20th-match-indian-premier-league-2021,Delhi Capitals 159/4 (20 ov),159/4 (20 ov),Sunrisers Hyderabad 159/7 (20 ov),159/7 (20 ov),Match tied (Delhi Capitals won the one-over eliminator)
20,"Apr 26, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254078/punjab-kings-vs-kolkata-knight-riders-21st-match-indian-premier-league-2021,Punjab Kings 123/9 (20 ov),123/9 (20 ov),Kolkata Knight Riders 126/5 (16.4/20 ov),126/5 (16.4/20 ov),Kolkata Knight Riders won by 5 wickets (with 20 balls remaining)
