,match_date,match_link,first_inn_team,first_inn_score,second_inn_team,second_inn_score,match_result
21,"Apr 27, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254079/delhi-capitals-vs-royal-challengers-bangalore-22nd-match-indian-premier-league-2021,RCB 171/5 (20 ov),171/5 (20 ov),Delhi Capitals 170/4 (20 ov),170/4 (20 ov),Royal Challengers Bangalore won by 1 run
22,"Apr 28, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254080/chennai-super-kings-vs-sunrisers-hyderabad-23rd-match-indian-premier-league-2021,Sunrisers Hyderabad 171/3 (20 ov),171/3 (20 ov),Chennai Super Kings 173/3 (18.3/20 ov),173/3 (18.3/20 ov),Chennai Super Kings won by 7 wickets (with 9 balls remaining)
23,"Apr 29, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254081/mumbai-indians-vs-rajasthan-royals-24th-match-indian-premier-league-2021,Rajasthan Royals 171/4 (20 ov),171/4 (20 ov),Mumbai Indians 172/3 (18.3/20 ov),172/3 (18.3/20 ov),Mumbai Indians won by 7 wickets (with 9 balls remaining)
24,"Apr 29, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254082/delhi-capitals-vs-kolkata-knight-riders-25th-match-indian-premier-league-2021,Kolkata Knight Riders 154/6 (20 ov),154/6 (20 ov),Delhi Capitals 156/3 (16.3/20 ov),156/3 (16.3/20 ov),Delhi Capitals won by 7 wickets (with 21 balls remaining)
25,"Apr 30, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254083/punjab-kings-vs-royal-challengers-bangalore-26th-match-indian-premier-league-2021,Punjab Kings 179/5 (20 ov),179/5 (20 ov),RCB 145/8 (20 ov),145/8 (20 ov),Punjab Kings won by 34 runs
26,"May 1, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254084/mumbai-indians-vs-chennai-super-kings-27th-match-indian-premier-league-2021,Chennai Super Kings 218/4 (20 ov),218/4 (20 ov),Mumbai Indians 219/6 (20 ov),219/6 (20 ov),Mumbai Indians won by 4 wickets (with 0 balls remaining)
27,"May 2, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254085/rajasthan-royals-vs-sunrisers-hyderabad-28th-match-indian-premier-league-2021,Rajasthan Royals 220/3 (20 ov),220/3 (20 ov),Sunrisers Hyderabad 165/8 (20 ov),165/8 (20 ov),Rajasthan Royals won by 55 runs
28,"May 2, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254086/punjab-kings-vs-delhi-capitals-29th-match-indian-premier-league-2021,Punjab Kings 166/6 (20 ov),166/6 (20 ov),Delhi Capitals 167/3 (17.4/20 ov),167/3 (17.4/20 ov),Delhi Capitals won by 7 wickets (with 14 balls remaining)
29,"Sep 19, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254104/chennai-super-kings-vs-mumbai-indians-30th-match-indian-premier-league-2021,Chennai Super Kings 156/6 (20 ov),156/6 (20 ov),Mumbai Indians 136/8 (20 ov),136/8 (20 ov),Chennai Super Kings won by 20 runs
30,"Sep 20, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254087/kolkata-knight-riders-vs-royal-challengers-bangalore-31st-match-indian-premier-league-2021,RCB 92 (19/20 ov),92 (19/20 ov),Kolkata Knight Riders 94/1 (10/20 ov),94/1 (10/20 ov),Kolkata Knight Riders won by 9 wickets (with 60 balls remaining)
31,"Sep 21, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254111/punjab-kings-vs-rajasthan-royals-32nd-match-indian-premier-league-2021,Rajasthan Royals 185 (20 ov),185 (20 ov),Punjab Kings 183/4 (20 ov),183/4 (20 ov),Rajasthan Royals won by 2 runs
32,"Sep 22, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254105/delhi-capitals-vs-sunrisers-hyderabad-33rd-match-indian-premier-league-2021,Sunrisers Hyderabad 134/9 (20 ov),134/9 (20 ov),Delhi Capitals 139/2 (17.5/20 ov),139/2 (17.5/20 ov),Delhi Capitals won by 8 wickets (with 13 balls remaining)
33,"Sep 23, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254096/mumbai-indians-vs-kolkata-knight-riders-34th-match-indian-premier-league-2021,Mumbai Indians 155/6 (20 ov),155/6 (20 ov),Kolkata Knight Riders 159/3 (15.1/20 ov),159/3 (15.1/20 ov),Kolkata Knight Riders won by 7 wickets (with 29 balls remaining)
34,"Sep 24, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254113/royal-challengers-bangalore-vs-chennai-super-kings-35th-match-indian-premier-league-2021,RCB 156/6 (20 ov),156/6 (20 ov),Chennai Super Kings 157/4 (18.1/20 ov),157/4 (18.1/20 ov),Chennai Super Kings won by 6 wickets (with 11 balls remaining)
35,"Sep 25, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254097/delhi-capitals-vs-rajasthan-royals-36th-match-indian-premier-league-2021,Delhi Capitals 154/6 (20 ov),154/6 (20 ov),Rajasthan Royals 121/6 (20 ov),121/6 (20 ov),Delhi Capitals won by 33 runs
36,"Sep 25, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254107/sunrisers-hyderabad-vs-punjab-kings-37th-match-indian-premier-league-2021,Punjab Kings 125/7 (20 ov),125/7 (20 ov),Sunrisers Hyderabad 120/7 (20 ov),120/7 (20 ov),Punjab Kings won by 5 runs
37,"Sep 26, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254098/chennai-super-kings-vs-kolkata-knight-riders-38th-match-indian-premier-league-2021,Kolkata Knight Riders 171/6 (20 ov),171/6 (20 ov),Chennai Super Kings 172/8 (20 ov),172/8 (20 ov),Chennai Super Kings won by 2 wickets (with 0 balls remaining)
38,"Sep 26, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254108/royal-challengers-bangalore-vs-mumbai-indians-39th-match-indian-premier-league-2021,RCB 165/6 (20 ov),165/6 (20 ov),Mumbai Indians 111 (18.1/20 ov),111 (18.1/20 ov),Royal Challengers Bangalore won by 54 runs
39,"Sep 27, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254100/sunrisers-hyderabad-vs-rajasthan-royals-40th-match-indian-premier-league-2021,Rajasthan Royals 164/5 (20 ov),164/5 (20 ov),Sunrisers Hyderabad 167/3 (18.3/20 ov),167/3 (18.3/20 ov),Sunrisers Hyderabad won by 7 wickets (with 9 balls remaining)
40,"Sep 28, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254092/kolkata-knight-riders-vs-delhi-capitals-41st-match-indian-premier-league-2021,Delhi Capitals 127/9 (20 ov),127/9 (20 ov),Kolkata Knight Riders 130/7 (18.2/20 ov),130/7 (18.2/20 ov),Kolkata Knight Riders won by 3 wickets (with 10 balls remaining)
41,"Sep 28, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254099/mumbai-indians-vs-punjab-kings-42nd-match-indian-premier-league-2021,Punjab Kings 135/6 (20 ov),135/6 (20 ov),Mumbai Indians 137/4 (19/20 ov),137/4 (19/20 ov),Mumbai Indians won by 6 wickets (with 6 balls remaining)
42,"Sep 29, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254103/rajasthan-royals-vs-royal-challengers-bangalore-43rd-match-indian-premier-league-2021,Rajasthan Royals 149/9 (20 ov),149/9 (20 ov),RCB 153/3 (17.1/20 ov),153/3 (17.1/20 ov),Royal Challengers Bangalore won by 7 wickets (with 17 balls remaining)
43,"Sep 30, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254091/sunrisers-hyderabad-vs-chennai-super-kings-44th-match-indian-premier-league-2021,Sunrisers Hyderabad 134/7 (20 ov),134/7 (20 ov),Chennai Super Kings 139/4 (19.4/20 ov),139/4 (19.4/20 ov),Chennai Super Kings won by 6 wickets (with 2 balls remaining)
44,"Oct 1, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254102/kolkata-knight-riders-vs-punjab-kings-45th-match-indian-premier-league-2021,Kolkata Knight Riders 165/7 (20 ov),165/7 (20 ov),Punjab Kings 168/5 (19.3/20 ov),168/5 (19.3/20 ov),Punjab Kings won by 5 wickets (with 3 balls remaining)
45,"Oct 2, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254112/mumbai-indians-vs-delhi-capitals-46th-match-indian-premier-league-2021,Mumbai Indians 129/8 (20 ov),129/8 (20 ov),Delhi Capitals 132/6 (19.1/20 ov),132/6 (19.1/20 ov),Delhi Capitals won by 4 wickets (with 5 balls remaining)
46,"Oct 2, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254089/rajasthan-royals-vs-chennai-super-kings-47th-match-indian-premier-league-2021,Chennai Super Kings 189/4 (20 ov),189/4 (20 ov),Rajasthan Royals 190/3 (17.3/20 ov),190/3 (17.3/20 ov),Rajasthan Royals won by 7 wickets (with 15 balls remaining)
47,"Oct 3, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254090/royal-challengers-bangalore-vs-punjab-kings-48th-match-indian-premier-league-2021,RCB 164/7 (20 ov),164/7 (20 ov),Punjab Kings 158/6 (20 ov),158/6 (20 ov),Royal Challengers Bangalore won by 6 runs
48,"Oct 3, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254109/kolkata-knight-riders-vs-sunrisers-hyderabad-49th-match-indian-premier-league-2021,Sunrisers Hyderabad 115/8 (20 ov),115/8 (20 ov),Kolkata Knight Riders 119/4 (19.4/20 ov),119/4 (19.4/20 ov),Kolkata Knight Riders won by 6 wickets (with 2 balls remaining)
49,"Oct 4, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254110/delhi-capitals-vs-chennai-super-kings-50th-match-indian-premier-league-2021,Chennai Super Kings 136/5 (20 ov),136/5 (20 ov),Delhi Capitals 139/7 (19.4/20 ov),139/7 (19.4/20 ov),Delhi Capitals won by 3 wickets (with 2 balls remaining)
50,"Oct 5, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254093/rajasthan-royals-vs-mumbai-indians-51st-match-indian-premier-league-2021,Rajasthan Royals 90/9 (20 ov),90/9 (20 ov),Mumbai Indians 94/2 (8.2/20 ov),94/2 (8.2/20 ov),Mumbai Indians won by 8 wickets (with 70 balls remaining)
51,"Oct 6, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254095/royal-challengers-bangalore-vs-sunrisers-hyderabad-52nd-match-indian-premier-league-2021,Sunrisers Hyderabad 141/7 (20 ov),141/7 (20 ov),RCB 137/6 (20 ov),137/6 (20 ov),Sunrisers Hyderabad won by 4 runs
52,"Oct 7, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254094/chennai-super-kings-vs-punjab-kings-53rd-match-indian-premier-league-2021,Chennai Super Kings 134/6 (20 ov),134/6 (20 ov),Punjab Kings 139/4 (13/20 ov),139/4 (13/20 ov),Punjab Kings won by 6 wickets (with 42 balls remaining)
53,"Oct 7, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254106/kolkata-knight-riders-vs-rajasthan-royals-54th-match-indian-premier-league-2021,Kolkata Knight Riders 171/4 (20 ov),171/4 (20 ov),Rajasthan Royals 85 (16.1/20 ov),85 (16.1/20 ov),Kolkata Knight Riders won by 86 runs
54,"Oct 8, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254088/sunrisers-hyderabad-vs-mumbai-indians-55th-match-indian-premier-league-2021,Mumbai Indians 235/9 (20 ov),235/9 (20 ov),Sunrisers Hyderabad 193/8 (20 ov),193/8 (20 ov),Mumbai Indians won by 42 runs
55,"Oct 8, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254101/royal-challengers-bangalore-vs-delhi-capitals-56th-match-indian-premier-league-2021,Delhi Capitals 164/5 (20 ov),164/5 (20 ov),RCB 166/3 (20 ov),166/3 (20 ov),Royal Challengers Bangalore won by 7 wickets (with 0 balls remaining)
56,"Oct 10, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254114/delhi-capitals-vs-chennai-super-kings-qualifier-1-indian-premier-league-2021,Delhi Capitals 172/5 (20 ov),172/5 (20 ov),Chennai Super Kings 173/6 (19.4/20 ov),173/6 (19.4/20 ov),Chennai Super Kings won by 4 wickets (with 2 balls remaining)
57,"Oct 11, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254115/royal-challengers-bangalore-vs-kolkata-knight-riders-eliminator-indian-premier-league-2021,RCB 138/7 (20 ov),138/7 (20 ov),Kolkata Knight Riders 139/6 (19.4/20 ov),139/6 (19.4/20 ov),Kolkata Knight Riders won by 4 wickets (with 2 balls remaining)
58,"Oct 13, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254116/delhi-capitals-vs-kolkata-knight-riders-qualifier-2-indian-premier-league-2021,Delhi Capitals 135/5 (20 ov),135/5 (20 ov),Kolkata Knight Riders 136/7 (19.5/20 ov),136/7 (19.5/20 ov),Kolkata Knight Riders won by 3 wickets (with 1 ball remaining)
59,"Oct 15, 2021",https://www.espncricinfo.com/series/8048/scorecard/1254117/chennai-super-kings-vs-kolkata-knight-riders-final-indian-premier-league-2021,Chennai Super Kings 192/3 (20 ov),192/3 (20 ov),Kolkata Knight Riders 165/9 (20 ov),165/9 (20 ov),Chennai Super Kings won by 27 runs
