,match_date,match_link,first_inn_team,first_inn_score,second_inn_team,second_inn_score,match_result
0,"Mar 26, 2022",https://www.espncricinfo.com/series/8048/scorecard/1304047/chennai-super-kings-vs-kolkata-knight-riders-1st-match-indian-premier-league-2022,Chennai Super Kings 131/5 (20 ov),131/5 (20 ov),Kolkata Knight Riders 133/4 (18.3/20 ov),133/4 (18.3/20 ov),Kolkata Knight Riders won by 6 wickets (with 9 balls remaining)
1,"Mar 27, 2022",https://www.espncricinfo.com/series/8048/scorecard/1304048/delhi-capitals-vs-mumbai-indians-2nd-match-indian-premier-league-2022,Mumbai Indians 177/5 (20 ov),177/5 (20 ov),Delhi Capitals 179/6 (18.2/20 ov),179/6 (18.2/20 ov),Delhi Capitals won by 4 wickets (with 10 balls remaining)
2,"Mar 27, 2022",https://www.espncricinfo.com/series/8048/scorecard/1304049/punjab-kings-vs-royal-challengers-bangalore-3rd-match-indian-premier-league-2022,RCB 205/2 (20 ov),205/2 (20 ov),Punjab Kings 208/5 (19/20 ov),208/5 (19/20 ov),Punjab Kings won by 5 wickets (with 6 balls remaining)
3,"Mar 28, 2022",https://www.espncricinfo.com/series/8048/scorecard/1304050/gujarat-titans-vs-lucknow-super-giants-4th-match-indian-premier-league-2022,Lucknow Super Giants 158/6 (20 ov),158/6 (20 ov),Gujarat Titans 161/5 (19.4/20 ov),161/5 (19.4/20 ov),Gujarat Titans won by 5 wickets (with 2 balls remaining)
4,"Mar 29, 2022",https://www.espncricinfo.com/series/8048/scorecard/1304051/sunrisers-hyderabad-vs-rajasthan-royals-5th-match-indian-premier-league-2022,Rajasthan Royals 210/6 (20 ov),210/6 (20 ov),Sunrisers Hyderabad 149/7 (20 ov),149/7 (20 ov),Rajasthan Royals won by 61 runs
5,"Mar 30, 2022",https://www.espncricinfo.com/series/8048/scorecard/1304052/royal-challengers-bangalore-vs-kolkata-knight-riders-6th-match-indian-premier-league-2022,Kolkata Knight Riders 128 (18.5/20 ov),128 (18.5/20 ov),RCB 132/7 (19.2/20 ov),132/7 (19.2/20 ov),Royal Challengers Bangalore won by 3 wickets (with 4 balls remaining)
6,"Mar 31, 2022",https://www.espncricinfo.com/series/8048/scorecard/1304053/lucknow-super-giants-vs-chennai-super-kings-7th-match-indian-premier-league-2022,Chennai Super Kings 210/7 (20 ov),210/7 (20 ov),Lucknow Super Giants 211/4 (19.3/20 ov),211/4 (19.3/20 ov),Lucknow Super Giants won by 6 wickets (with 3 balls remaining)
7,"Apr 1, 2022",https://www.espncricinfo.com/series/8048/scorecard/1304054/kolkata-knight-riders-vs-punjab-kings-8th-match-indian-premier-league-2022,Punjab Kings 137 (18.2/20 ov),137 (18.2/20 ov),Kolkata Knight Riders 141/4 (14.3/20 ov),141/4 (14.3/20 ov),Kolkata Knight Riders won by 6 wickets (with 33 balls remaining)
8,"Apr 2, 2022",https://www.espncricinfo.com/series/8048/scorecard/1304055/mumbai-indians-vs-rajasthan-royals-9th-match-indian-premier-league-2022,Rajasthan Royals 193/8 (20 ov),193/8 (20 ov),Mumbai Indians 170/8 (20 ov),170/8 (20 ov),Rajasthan Royals won by 23 runs
9,"Apr 2, 2022",https://www.espncricinfo.com/series/8048/scorecard/1304056/gujarat-titans-vs-delhi-capitals-10th-match-indian-premier-league-2022,Gujarat Titans 171/6 (20 ov),171/6 (20 ov),Delhi Capitals 157/9 (20 ov),157/9 (20 ov),Gujarat Titans won by 14 runs
10,"Apr 3, 2022",https://www.espncricinfo.com/series/8048/scorecard/1304057/chennai-super-kings-vs-punjab-kings-11th-match-indian-premier-league-2022,Punjab Kings 180/8 (20 ov),180/8 (20 ov),Chennai Super Kings 126 (18/20 ov),126 (18/20 ov),Punjab Kings won by 54 runs
11,"Apr 4, 2022",https://www.espncricinfo.com/series/8048/scorecard/1304058/sunrisers-hyderabad-vs-lucknow-super-giants-12th-match-indian-premier-league-2022,Lucknow Super Giants 169/7 (20 ov),169/7 (20 ov),Sunrisers Hyderabad 157/9 (20 ov),157/9 (20 ov),Lucknow Super Giants won by 12 runs
12,"Apr 5, 2022",https://www.espncricinfo.com/series/8048/scorecard/1304059/rajasthan-royals-vs-royal-challengers-bangalore-13th-match-indian-premier-league-2022,Rajasthan Royals 169/3 (20 ov),169/3 (20 ov),RCB 173/6 (19.1/20 ov),173/6 (19.1/20 ov),Royal Challengers Bangalore won by 4 wickets (with 5 balls remaining)
13,"Apr 6, 2022",https://www.espncricinfo.com/series/8048/scorecard/1304060/kolkata-knight-riders-vs-mumbai-indians-14th-match-indian-premier-league-2022,Mumbai Indians 161/4 (20 ov),161/4 (20 ov),Kolkata Knight Riders 162/5 (16/20 ov),162/5 (16/20 ov),Kolkata Knight Riders won by 5 wickets (with 24 balls remaining)
14,"Apr 7, 2022",https://www.espncricinfo.com/series/8048/scorecard/1304061/lucknow-super-giants-vs-delhi-capitals-15th-match-indian-premier-league-2022,Delhi Capitals 149/3 (20 ov),149/3 (20 ov),Lucknow Super Giants 155/4 (19.4/20 ov),155/4 (19.4/20 ov),Lucknow Super Giants won by 6 wickets (with 2 balls remaining)
15,"Apr 8, 2022",https://www.espncricinfo.com/series/8048/scorecard/1304062/punjab-kings-vs-gujarat-titans-16th-match-indian-premier-league-2022,Punjab Kings 189/9 (20 ov),189/9 (20 ov),Gujarat Titans 190/4 (20 ov),190/4 (20 ov),Gujarat Titans won by 6 wickets (with 0 balls remaining)
16,"Apr 9, 2022",https://www.espncricinfo.com/series/8048/scorecard/1304063/chennai-super-kings-vs-sunrisers-hyderabad-17th-match-indian-premier-league-2022,Chennai Super Kings 154/7 (20 ov),154/7 (20 ov),Sunrisers Hyderabad 155/2 (17.4/20 ov),155/2 (17.4/20 ov),Sunrisers Hyderabad won by 8 wickets (with 14 balls remaining)
17,"Apr 9, 2022",https://www.espncricinfo.com/series/8048/scorecard/1304064/royal-challengers-bangalore-vs-mumbai-indians-18th-match-indian-premier-league-2022,Mumbai Indians 151/6 (20 ov),151/6 (20 ov),RCB 152/3 (18.3/20 ov),152/3 (18.3/20 ov),Royal Challengers Bangalore won by 7 wickets (with 9 balls remaining)
18,"Apr 10, 2022",https://www.espncricinfo.com/series/8048/scorecard/1304065/kolkata-knight-riders-vs-delhi-capitals-19th-match-indian-premier-league-2022,Delhi Capitals 215/5 (20 ov),215/5 (20 ov),Kolkata Knight Riders 171 (19.4/20 ov),171 (19.4/20 ov),Delhi Capitals won by 44 runs
19,"Apr 10, 2022",https://www.espncricinfo.com/series/8048/scorecard/1304066/rajasthan-royals-vs-lucknow-super-giants-20th-match-indian-premier-league-2022,Rajasthan Royals 165/6 (20 ov),165/6 (20 ov),Lucknow Super Giants 162/8 (20 ov),162/8 (20 ov),Rajasthan Royals won by 3 runs
20,"Apr 11, 2022",https://www.espncricinfo.com/series/8048/scorecard/1304067/sunrisers-hyderabad-vs-gujarat-titans-21st-match-indian-premier-league-2022,Gujarat Titans 162/7 (20 ov),162/7 (20 ov),Sunrisers Hyderabad 168/2 (19.1/20 ov),168/2 (19.1/20 ov),Sunrisers Hyderabad won by 8 wickets (with 5 balls remaining)
