match_number,match_date,match_link,first_inn_team,first_inn_score,second_inn_team,second_inn_score,match_result
1,Mar 22,https://www.espncricinfo.com/series/8048/scorecard/1422119/chennai-super-kings-vs-royal-challengers-bengaluru-1st-match-indian-premier-league-2024,RCB,173/6 (20 ov),CSK,176/4 (18.4/20 ov),Chennai Super Kings won by 6 wickets (with 8 balls remaining)
2,Mar 23,https://www.espncricinfo.com/series/8048/scorecard/1422120/punjab-kings-vs-delhi-capitals-2nd-match-indian-premier-league-2024,DC,174/9 (20 ov),PBKS,177/6 (19.2/20 ov),Punjab Kings won by 4 wickets (with 4 balls remaining)
3,Mar 23,https://www.espncricinfo.com/series/8048/scorecard/1422121/kolkata-knight-riders-vs-sunrisers-hyderabad-3rd-match-indian-premier-league-2024,KKR,208/7 (20 ov),SRH,204/7 (20 ov),Kolkata Knight Riders won by 4 runs
4,Mar 24,https://www.espncricinfo.com/series/8048/scorecard/1422122/rajasthan-royals-vs-lucknow-super-giants-4th-match-indian-premier-league-2024,RR,193/4 (20 ov),LSG,173/6 (20 ov),Rajasthan Royals won by 20 runs
5,Mar 24,https://www.espncricinfo.com/series/8048/scorecard/1422123/gujarat-titans-vs-mumbai-indians-5th-match-indian-premier-league-2024,GT,168/6 (20 ov),MI,162/9 (20 ov),Gujarat Titans won by 6 runs
6,Mar 25,https://www.espncricinfo.com/series/8048/scorecard/1422124/royal-challengers-bengaluru-vs-punjab-kings-6th-match-indian-premier-league-2024,PBKS,176/6 (20 ov),RCB,178/6 (19.2/20 ov),Royal Challengers Bengaluru won by 4 wickets (with 4 balls remaining)
7,Mar 26,https://www.espncricinfo.com/series/8048/scorecard/1422125/chennai-super-kings-vs-gujarat-titans-7th-match-indian-premier-league-2024,CSK,206/6 (20 ov),GT,143/8 (20 ov),Chennai Super Kings won by 63 runs
8,Mar 27,https://www.espncricinfo.com/series/8048/scorecard/1422126/sunrisers-hyderabad-vs-mumbai-indians-8th-match-indian-premier-league-2024,SRH,277/3 (20 ov),MI,246/5 (20 ov),Sunrisers Hyderabad won by 31 runs
9,Mar 28,https://www.espncricinfo.com/series/8048/scorecard/1422127/rajasthan-royals-vs-delhi-capitals-9th-match-indian-premier-league-2024,RR,185/5 (20 ov),DC,173/5 (20 ov),Rajasthan Royals won by 12 runs
10,Mar 29,https://www.espncricinfo.com/series/8048/scorecard/1422128/royal-challengers-bengaluru-vs-kolkata-knight-riders-10th-match-indian-premier-league-2024,RCB,182/6 (20 ov),KKR,186/3 (16.5/20 ov),Kolkata Knight Riders won by 7 wickets (with 19 balls remaining)
11,Mar 30,https://www.espncricinfo.com/series/8048/scorecard/1422129/lucknow-super-giants-vs-punjab-kings-11th-match-indian-premier-league-2024,LSG,199/8 (20 ov),PBKS,178/5 (20 ov),Lucknow Super Giants won by 21 runs
12,Mar 31,https://www.espncricinfo.com/series/8048/scorecard/1422130/gujarat-titans-vs-sunrisers-hyderabad-12th-match-indian-premier-league-2024,SRH,162/8 (20 ov),GT,168/3 (19.1/20 ov),Gujarat Titans won by 7 wickets (with 5 balls remaining)
13,Mar 31,https://www.espncricinfo.com/series/8048/scorecard/1422131/delhi-capitals-vs-chennai-super-kings-13th-match-indian-premier-league-2024,DC,191/5 (20 ov),CSK,171/6 (20 ov),Delhi Capitals won by 20 runs
14,Apr 1,https://www.espncricinfo.com/series/8048/scorecard/1422132/mumbai-indians-vs-rajasthan-royals-14th-match-indian-premier-league-2024,MI,125/9 (20 ov),RR,127/4 (15.3/20 ov),Rajasthan Royals won by 6 wickets (with 27 balls remaining)
15,Apr 2,https://www.espncricinfo.com/series/8048/scorecard/1422133/royal-challengers-bengaluru-vs-lucknow-super-giants-15th-match-indian-premier-league-2024,LSG,181/5 (20 ov),RCB,153 (19.4/20 ov),Lucknow Super Giants won by 28 runs
16,Apr 3,https://www.espncricinfo.com/series/8048/scorecard/1422134/delhi-capitals-vs-kolkata-knight-riders-16th-match-indian-premier-league-2024,KKR,272/7 (20 ov),DC,166 (17.2/20 ov),Kolkata Knight Riders won by 106 runs
17,Apr 4,https://www.espncricinfo.com/series/8048/scorecard/1422135/gujarat-titans-vs-punjab-kings-17th-match-indian-premier-league-2024,GT,199/4 (20 ov),PBKS,200/7 (19.5/20 ov),Punjab Kings won by 3 wickets (with 1 ball remaining)
18,Apr 5,https://www.espncricinfo.com/series/8048/scorecard/1422136/sunrisers-hyderabad-vs-chennai-super-kings-18th-match-indian-premier-league-2024,CSK,165/5 (20 ov),SRH,166/4 (18.1/20 ov),Sunrisers Hyderabad won by 6 wickets (with 11 balls remaining)
19,Apr 6,https://www.espncricinfo.com/series/8048/scorecard/1422137/rajasthan-royals-vs-royal-challengers-bengaluru-19th-match-indian-premier-league-2024,RCB,183/3 (20 ov),RR,189/4 (19.1/20 ov),Rajasthan Royals won by 6 wickets (with 5 balls remaining)
20,Apr 7,https://www.espncricinfo.com/series/8048/scorecard/1422138/mumbai-indians-vs-delhi-capitals-20th-match-indian-premier-league-2024,MI,234/5 (20 ov),DC,205/8 (20 ov),Mumbai Indians won by 29 runs
21,Apr 7,https://www.espncricinfo.com/series/8048/scorecard/1422139/lucknow-super-giants-vs-gujarat-titans-21st-match-indian-premier-league-2024,LSG,163/5 (20 ov),GT,130 (18.5/20 ov),Lucknow Super Giants won by 33 runs
22,Apr 8,https://www.espncricinfo.com/series/8048/scorecard/1426260/chennai-super-kings-vs-kolkata-knight-riders-22nd-match-indian-premier-league-2024,KKR,137/9 (20 ov),CSK,141/3 (17.4/20 ov),Chennai Super Kings won by 7 wickets (with 14 balls remaining)
23,Apr 9,https://www.espncricinfo.com/series/8048/scorecard/1426261/punjab-kings-vs-sunrisers-hyderabad-23rd-match-indian-premier-league-2024,SRH,182/9 (20 ov),PBKS,180/6 (20 ov),Sunrisers Hyderabad won by 2 runs
24,Apr 10,https://www.espncricinfo.com/series/8048/scorecard/1426262/rajasthan-royals-vs-gujarat-titans-24th-match-indian-premier-league-2024,RR,196/3 (20 ov),GT,199/7 (20 ov),Gujarat Titans won by 3 wickets (with 0 balls remaining)
25,Apr 11,https://www.espncricinfo.com/series/8048/scorecard/1426263/mumbai-indians-vs-royal-challengers-bengaluru-25th-match-indian-premier-league-2024,RCB,196/8 (20 ov),MI,199/3 (15.3/20 ov),Mumbai Indians won by 7 wickets (with 27 balls remaining)
26,Apr 12,https://www.espncricinfo.com/series/8048/scorecard/1426264/lucknow-super-giants-vs-delhi-capitals-26th-match-indian-premier-league-2024,LSG,167/7 (20 ov),DC,170/4 (18.1/20 ov),Delhi Capitals won by 6 wickets (with 11 balls remaining)
27,Apr 13,https://www.espncricinfo.com/series/8048/scorecard/1426265/punjab-kings-vs-rajasthan-royals-27th-match-indian-premier-league-2024,PBKS,147/8 (20 ov),RR,152/7 (19.5/20 ov),Rajasthan Royals won by 3 wickets (with 1 ball remaining)
28,Apr 14,https://www.espncricinfo.com/series/8048/scorecard/1426266/kolkata-knight-riders-vs-lucknow-super-giants-28th-match-indian-premier-league-2024,LSG,161/7 (20 ov),KKR,162/2 (15.4/20 ov),Kolkata Knight Riders won by 8 wickets (with 26 balls remaining)
29,Apr 14,https://www.espncricinfo.com/series/8048/scorecard/1426267/mumbai-indians-vs-chennai-super-kings-29th-match-indian-premier-league-2024,CSK,206/4 (20 ov),MI,186/6 (20 ov),Chennai Super Kings won by 20 runs
30,Apr 15,https://www.espncricinfo.com/series/8048/scorecard/1426268/royal-challengers-bengaluru-vs-sunrisers-hyderabad-30th-match-indian-premier-league-2024,SRH,287/3 (20 ov),RCB,262/7 (20 ov),Sunrisers Hyderabad won by 25 runs
31,Apr 16,https://www.espncricinfo.com/series/8048/scorecard/1426269/kolkata-knight-riders-vs-rajasthan-royals-31st-match-indian-premier-league-2024,KKR,223/6 (20 ov),RR,224/8 (20 ov),Rajasthan Royals won by 2 wickets (with 0 balls remaining)
32,Apr 17,https://www.espncricinfo.com/series/8048/scorecard/1426270/gujarat-titans-vs-delhi-capitals-32nd-match-indian-premier-league-2024,GT,89 (17.3/20 ov),DC,92/4 (8.5/20 ov),Delhi Capitals won by 6 wickets (with 67 balls remaining)
33,Apr 18,https://www.espncricinfo.com/series/8048/scorecard/1426271/punjab-kings-vs-mumbai-indians-33rd-match-indian-premier-league-2024,MI,192/7 (20 ov),PBKS,183 (19.1/20 ov),Mumbai Indians won by 9 runs
34,Apr 19,https://www.espncricinfo.com/series/8048/scorecard/1426272/lucknow-super-giants-vs-chennai-super-kings-34th-match-indian-premier-league-2024,CSK,176/6 (20 ov),LSG,180/2 (19/20 ov),Lucknow Super Giants won by 8 wickets (with 6 balls remaining)
35,Apr 20,https://www.espncricinfo.com/series/8048/scorecard/1426273/delhi-capitals-vs-sunrisers-hyderabad-35th-match-indian-premier-league-2024,SRH,266/7 (20 ov),DC,199 (19.1/20 ov),Sunrisers Hyderabad won by 67 runs
36,Apr 21,https://www.espncricinfo.com/series/8048/scorecard/1426274/kolkata-knight-riders-vs-royal-challengers-bengaluru-36th-match-indian-premier-league-2024,KKR,222/6 (20 ov),RCB,221 (20 ov),Kolkata Knight Riders won by 1 run
37,Apr 21,https://www.espncricinfo.com/series/8048/scorecard/1426275/punjab-kings-vs-gujarat-titans-37th-match-indian-premier-league-2024,PBKS,142 (20 ov),GT,146/7 (19.1/20 ov),Gujarat Titans won by 3 wickets (with 5 balls remaining)
38,Apr 22,https://www.espncricinfo.com/series/8048/scorecard/1426276/rajasthan-royals-vs-mumbai-indians-38th-match-indian-premier-league-2024,MI,179/9 (20 ov),RR,183/1 (18.4/20 ov),Rajasthan Royals won by 9 wickets (with 8 balls remaining)
39,Apr 23,https://www.espncricinfo.com/series/8048/scorecard/1426277/chennai-super-kings-vs-lucknow-super-giants-39th-match-indian-premier-league-2024,CSK,210/4 (20 ov),LSG,213/4 (19.3/20 ov),Lucknow Super Giants won by 6 wickets (with 3 balls remaining)
40,Apr 24,https://www.espncricinfo.com/series/8048/scorecard/1426278/delhi-capitals-vs-gujarat-titans-40th-match-indian-premier-league-2024,DC,224/4 (20 ov),GT,220/8 (20 ov),Delhi Capitals won by 4 runs
41,Apr 25,https://www.espncricinfo.com/series/8048/scorecard/1426279/sunrisers-hyderabad-vs-royal-challengers-bengaluru-41st-match-indian-premier-league-2024,RCB,206/7 (20 ov),SRH,171/8 (20 ov),Royal Challengers Bengaluru won by 35 runs
42,Apr 26,https://www.espncricinfo.com/series/8048/scorecard/1426280/kolkata-knight-riders-vs-punjab-kings-42nd-match-indian-premier-league-2024,KKR,261/6 (20 ov),PBKS,262/2 (18.4/20 ov),Punjab Kings won by 8 wickets (with 8 balls remaining)
43,Apr 27,https://www.espncricinfo.com/series/8048/scorecard/1426281/delhi-capitals-vs-mumbai-indians-43rd-match-indian-premier-league-2024,DC,257/4 (20 ov),MI,247/9 (20 ov),Delhi Capitals won by 10 runs
44,Apr 27,https://www.espncricinfo.com/series/8048/scorecard/1426282/lucknow-super-giants-vs-rajasthan-royals-44th-match-indian-premier-league-2024,LSG,196/5 (20 ov),RR,199/3 (19/20 ov),Rajasthan Royals won by 7 wickets (with 6 balls remaining)
45,Apr 28,https://www.espncricinfo.com/series/8048/scorecard/1426283/gujarat-titans-vs-royal-challengers-bengaluru-45th-match-indian-premier-league-2024,GT,200/3 (20 ov),RCB,206/1 (16/20 ov),Royal Challengers Bengaluru won by 9 wickets (with 24 balls remaining)
46,Apr 28,https://www.espncricinfo.com/series/8048/scorecard/1426284/chennai-super-kings-vs-sunrisers-hyderabad-46th-match-indian-premier-league-2024,CSK,212/3 (20 ov),SRH,134 (18.5/20 ov),Chennai Super Kings won by 78 runs
47,Apr 29,https://www.espncricinfo.com/series/8048/scorecard/1426285/kolkata-knight-riders-vs-delhi-capitals-47th-match-indian-premier-league-2024,DC,153/9 (20 ov),KKR,157/3 (16.3/20 ov),Kolkata Knight Riders won by 7 wickets (with 21 balls remaining)
48,Apr 30,https://www.espncricinfo.com/series/8048/scorecard/1426286/lucknow-super-giants-vs-mumbai-indians-48th-match-indian-premier-league-2024,MI,144/7 (20 ov),LSG,145/6 (19.2/20 ov),Lucknow Super Giants won by 4 wickets (with 4 balls remaining)
49,May 1,https://www.espncricinfo.com/series/8048/scorecard/1426287/chennai-super-kings-vs-punjab-kings-49th-match-indian-premier-league-2024,CSK,162/7 (20 ov),PBKS,163/3 (17.5/20 ov),Punjab Kings won by 7 wickets (with 13 balls remaining)
50,May 2,https://www.espncricinfo.com/series/8048/scorecard/1426288/sunrisers-hyderabad-vs-rajasthan-royals-50th-match-indian-premier-league-2024,SRH,201/3 (20 ov),RR,200/7 (20 ov),Sunrisers Hyderabad won by 1 run
51,May 3,https://www.espncricinfo.com/series/8048/scorecard/1426289/mumbai-indians-vs-kolkata-knight-riders-51st-match-indian-premier-league-2024,KKR,169 (19.5/20 ov),MI,145 (18.5/20 ov),Kolkata Knight Riders won by 24 runs
52,May 4,https://www.espncricinfo.com/series/8048/scorecard/1426290/royal-challengers-bengaluru-vs-gujarat-titans-52nd-match-indian-premier-league-2024,GT,147 (19.3/20 ov),RCB,152/6 (13.4/20 ov),Royal Challengers Bengaluru won by 4 wickets (with 38 balls remaining)
53,May 5,https://www.espncricinfo.com/series/8048/scorecard/1426291/punjab-kings-vs-chennai-super-kings-53rd-match-indian-premier-league-2024,CSK,167/9 (20 ov),PBKS,139/9 (20 ov),Chennai Super Kings won by 28 runs
54,May 5,https://www.espncricinfo.com/series/8048/scorecard/1426292/lucknow-super-giants-vs-kolkata-knight-riders-54th-match-indian-premier-league-2024,KKR,235/6 (20 ov),LSG,137 (16.1/20 ov),Kolkata Knight Riders won by 98 runs
