match_number,match_date,match_link,first_inn_team,first_inn_score,second_inn_team,second_inn_score,match_result
1,Apr 9,https://www.espncricinfo.com/series/8048/scorecard/1254058/mumbai-indians-vs-royal-challengers-bangalore-1st-match-indian-premier-league-2021,MI,159/9 (20 ov),RCB,160/8 (20 ov),Royal Challengers Bengaluru won by 2 wickets (with 0 balls remaining)
2,Apr 10,https://www.espncricinfo.com/series/8048/scorecard/1254059/chennai-super-kings-vs-delhi-capitals-2nd-match-indian-premier-league-2021,CSK,188/7 (20 ov),DC,190/3 (18.4/20 ov),Delhi Capitals won by 7 wickets (with 8 balls remaining)
3,Apr 11,https://www.espncricinfo.com/series/8048/scorecard/1254060/sunrisers-hyderabad-vs-kolkata-knight-riders-3rd-match-indian-premier-league-2021,KKR,187/6 (20 ov),SRH,177/5 (20 ov),Kolkata Knight Riders won by 10 runs
4,Apr 12,https://www.espncricinfo.com/series/8048/scorecard/1254061/rajasthan-royals-vs-punjab-kings-4th-match-indian-premier-league-2021,PBKS,221/6 (20 ov),RR,217/7 (20 ov),Punjab Kings won by 4 runs
5,Apr 13,https://www.espncricinfo.com/series/8048/scorecard/1254062/kolkata-knight-riders-vs-mumbai-indians-5th-match-indian-premier-league-2021,MI,152 (20 ov),KKR,142/7 (20 ov),Mumbai Indians won by 10 runs
6,Apr 14,https://www.espncricinfo.com/series/8048/scorecard/1254063/sunrisers-hyderabad-vs-royal-challengers-bangalore-6th-match-indian-premier-league-2021,RCB,149/8 (20 ov),SRH,143/9 (20 ov),Royal Challengers Bengaluru won by 6 runs
7,Apr 15,https://www.espncricinfo.com/series/8048/scorecard/1254064/rajasthan-royals-vs-delhi-capitals-7th-match-indian-premier-league-2021,DC,147/8 (20 ov),RR,150/7 (19.4/20 ov),Rajasthan Royals won by 3 wickets (with 2 balls remaining)
8,Apr 16,https://www.espncricinfo.com/series/8048/scorecard/1254065/punjab-kings-vs-chennai-super-kings-8th-match-indian-premier-league-2021,PBKS,106/8 (20 ov),CSK,107/4 (15.4/20 ov),Chennai Super Kings won by 6 wickets (with 26 balls remaining)
9,Apr 17,https://www.espncricinfo.com/series/8048/scorecard/1254066/mumbai-indians-vs-sunrisers-hyderabad-9th-match-indian-premier-league-2021,MI,150/5 (20 ov),SRH,137 (19.4/20 ov),Mumbai Indians won by 13 runs
10,Apr 18,https://www.espncricinfo.com/series/8048/scorecard/1254067/royal-challengers-bangalore-vs-kolkata-knight-riders-10th-match-indian-premier-league-2021,RCB,204/4 (20 ov),KKR,166/8 (20 ov),Royal Challengers Bengaluru won by 38 runs
11,Apr 18,https://www.espncricinfo.com/series/8048/scorecard/1254068/delhi-capitals-vs-punjab-kings-11th-match-indian-premier-league-2021,PBKS,195/4 (20 ov),DC,198/4 (18.2/20 ov),Delhi Capitals won by 6 wickets (with 10 balls remaining)
12,Apr 19,https://www.espncricinfo.com/series/8048/scorecard/1254069/chennai-super-kings-vs-rajasthan-royals-12th-match-indian-premier-league-2021,CSK,188/9 (20 ov),RR,143/9 (20 ov),Chennai Super Kings won by 45 runs
13,Apr 20,https://www.espncricinfo.com/series/8048/scorecard/1254070/delhi-capitals-vs-mumbai-indians-13th-match-indian-premier-league-2021,MI,137/9 (20 ov),DC,138/4 (19.1/20 ov),Delhi Capitals won by 6 wickets (with 5 balls remaining)
