match_number,match_date,match_link,first_inn_team,first_inn_score,second_inn_team,second_inn_score,match_result
14,Apr 21,https://www.espncricinfo.com/series/8048/scorecard/1254071/punjab-kings-vs-sunrisers-hyderabad-14th-match-indian-premier-league-2021,PBKS,120 (19.4/20 ov),SRH,121/1 (18.4/20 ov),Sunrisers Hyderabad won by 9 wickets (with 8 balls remaining)
15,Apr 21,https://www.espncricinfo.com/series/8048/scorecard/1254072/kolkata-knight-riders-vs-chennai-super-kings-15th-match-indian-premier-league-2021,CSK,220/3 (20 ov),KKR,202 (19.1/20 ov),Chennai Super Kings won by 18 runs
16,Apr 22,https://www.espncricinfo.com/series/8048/scorecard/1254073/royal-challengers-bangalore-vs-rajasthan-royals-16th-match-indian-premier-league-2021,RR,177/9 (20 ov),RCB,181/0 (16.3/20 ov),Royal Challengers Bengaluru won by 10 wickets (with 21 balls remaining)
17,Apr 23,https://www.espncricinfo.com/series/8048/scorecard/1254074/punjab-kings-vs-mumbai-indians-17th-match-indian-premier-league-2021,MI,131/6 (20 ov),PBKS,132/1 (17.4/20 ov),Punjab Kings won by 9 wickets (with 14 balls remaining)
18,Apr 24,https://www.espncricinfo.com/series/8048/scorecard/1254075/rajasthan-royals-vs-kolkata-knight-riders-18th-match-indian-premier-league-2021,KKR,133/9 (20 ov),RR,134/4 (18.5/20 ov),Rajasthan Royals won by 6 wickets (with 7 balls remaining)
19,Apr 25,https://www.espncricinfo.com/series/8048/scorecard/1254076/chennai-super-kings-vs-royal-challengers-bangalore-19th-match-indian-premier-league-2021,CSK,191/4 (20 ov),RCB,122/9 (20 ov),Chennai Super Kings won by 69 runs
20,Apr 25,https://www.espncricinfo.com/series/8048/scorecard/1254077/sunrisers-hyderabad-vs-delhi-capitals-20th-match-indian-premier-league-2021,DC,159/4 (20 ov),SRH,159/7 (20 ov),Match tied (Delhi Capitals won the one-over eliminator)
21,Apr 26,https://www.espncricinfo.com/series/8048/scorecard/1254078/punjab-kings-vs-kolkata-knight-riders-21st-match-indian-premier-league-2021,PBKS,123/9 (20 ov),KKR,126/5 (16.4/20 ov),Kolkata Knight Riders won by 5 wickets (with 20 balls remaining)
22,Apr 27,https://www.espncricinfo.com/series/8048/scorecard/1254079/delhi-capitals-vs-royal-challengers-bangalore-22nd-match-indian-premier-league-2021,RCB,171/5 (20 ov),DC,170/4 (20 ov),Royal Challengers Bengaluru won by 1 run
23,Apr 28,https://www.espncricinfo.com/series/8048/scorecard/1254080/chennai-super-kings-vs-sunrisers-hyderabad-23rd-match-indian-premier-league-2021,SRH,171/3 (20 ov),CSK,173/3 (18.3/20 ov),Chennai Super Kings won by 7 wickets (with 9 balls remaining)
24,Apr 29,https://www.espncricinfo.com/series/8048/scorecard/1254081/mumbai-indians-vs-rajasthan-royals-24th-match-indian-premier-league-2021,RR,171/4 (20 ov),MI,172/3 (18.3/20 ov),Mumbai Indians won by 7 wickets (with 9 balls remaining)
25,Apr 29,https://www.espncricinfo.com/series/8048/scorecard/1254082/delhi-capitals-vs-kolkata-knight-riders-25th-match-indian-premier-league-2021,KKR,154/6 (20 ov),DC,156/3 (16.3/20 ov),Delhi Capitals won by 7 wickets (with 21 balls remaining)
26,Apr 30,https://www.espncricinfo.com/series/8048/scorecard/1254083/punjab-kings-vs-royal-challengers-bangalore-26th-match-indian-premier-league-2021,PBKS,179/5 (20 ov),RCB,145/8 (20 ov),Punjab Kings won by 34 runs
27,May 1,https://www.espncricinfo.com/series/8048/scorecard/1254084/mumbai-indians-vs-chennai-super-kings-27th-match-indian-premier-league-2021,CSK,218/4 (20 ov),MI,219/6 (20 ov),Mumbai Indians won by 4 wickets (with 0 balls remaining)
28,May 2,https://www.espncricinfo.com/series/8048/scorecard/1254085/rajasthan-royals-vs-sunrisers-hyderabad-28th-match-indian-premier-league-2021,RR,220/3 (20 ov),SRH,165/8 (20 ov),Rajasthan Royals won by 55 runs
29,May 2,https://www.espncricinfo.com/series/8048/scorecard/1254086/punjab-kings-vs-delhi-capitals-29th-match-indian-premier-league-2021,PBKS,166/6 (20 ov),DC,167/3 (17.4/20 ov),Delhi Capitals won by 7 wickets (with 14 balls remaining)
30,Sep 19,https://www.espncricinfo.com/series/8048/scorecard/1254104/chennai-super-kings-vs-mumbai-indians-30th-match-indian-premier-league-2021,CSK,156/6 (20 ov),MI,136/8 (20 ov),Chennai Super Kings won by 20 runs
31,Sep 20,https://www.espncricinfo.com/series/8048/scorecard/1254087/kolkata-knight-riders-vs-royal-challengers-bangalore-31st-match-indian-premier-league-2021,RCB,92 (19/20 ov),KKR,94/1 (10/20 ov),Kolkata Knight Riders won by 9 wickets (with 60 balls remaining)
32,Sep 21,https://www.espncricinfo.com/series/8048/scorecard/1254111/punjab-kings-vs-rajasthan-royals-32nd-match-indian-premier-league-2021,RR,185 (20 ov),PBKS,183/4 (20 ov),Rajasthan Royals won by 2 runs
33,Sep 22,https://www.espncricinfo.com/series/8048/scorecard/1254105/delhi-capitals-vs-sunrisers-hyderabad-33rd-match-indian-premier-league-2021,SRH,134/9 (20 ov),DC,139/2 (17.5/20 ov),Delhi Capitals won by 8 wickets (with 13 balls remaining)
34,Sep 23,https://www.espncricinfo.com/series/8048/scorecard/1254096/mumbai-indians-vs-kolkata-knight-riders-34th-match-indian-premier-league-2021,MI,155/6 (20 ov),KKR,159/3 (15.1/20 ov),Kolkata Knight Riders won by 7 wickets (with 29 balls remaining)
35,Sep 24,https://www.espncricinfo.com/series/8048/scorecard/1254113/royal-challengers-bangalore-vs-chennai-super-kings-35th-match-indian-premier-league-2021,RCB,156/6 (20 ov),CSK,157/4 (18.1/20 ov),Chennai Super Kings won by 6 wickets (with 11 balls remaining)
36,Sep 25,https://www.espncricinfo.com/series/8048/scorecard/1254097/delhi-capitals-vs-rajasthan-royals-36th-match-indian-premier-league-2021,DC,154/6 (20 ov),RR,121/6 (20 ov),Delhi Capitals won by 33 runs
37,Sep 25,https://www.espncricinfo.com/series/8048/scorecard/1254107/sunrisers-hyderabad-vs-punjab-kings-37th-match-indian-premier-league-2021,PBKS,125/7 (20 ov),SRH,120/7 (20 ov),Punjab Kings won by 5 runs
38,Sep 26,https://www.espncricinfo.com/series/8048/scorecard/1254098/chennai-super-kings-vs-kolkata-knight-riders-38th-match-indian-premier-league-2021,KKR,171/6 (20 ov),CSK,172/8 (20 ov),Chennai Super Kings won by 2 wickets (with 0 balls remaining)
39,Sep 26,https://www.espncricinfo.com/series/8048/scorecard/1254108/royal-challengers-bangalore-vs-mumbai-indians-39th-match-indian-premier-league-2021,RCB,165/6 (20 ov),MI,111 (18.1/20 ov),Royal Challengers Bengaluru won by 54 runs
40,Sep 27,https://www.espncricinfo.com/series/8048/scorecard/1254100/sunrisers-hyderabad-vs-rajasthan-royals-40th-match-indian-premier-league-2021,RR,164/5 (20 ov),SRH,167/3 (18.3/20 ov),Sunrisers Hyderabad won by 7 wickets (with 9 balls remaining)
41,Sep 28,https://www.espncricinfo.com/series/8048/scorecard/1254092/kolkata-knight-riders-vs-delhi-capitals-41st-match-indian-premier-league-2021,DC,127/9 (20 ov),KKR,130/7 (18.2/20 ov),Kolkata Knight Riders won by 3 wickets (with 10 balls remaining)
42,Sep 28,https://www.espncricinfo.com/series/8048/scorecard/1254099/mumbai-indians-vs-punjab-kings-42nd-match-indian-premier-league-2021,PBKS,135/6 (20 ov),MI,137/4 (19/20 ov),Mumbai Indians won by 6 wickets (with 6 balls remaining)
43,Sep 29,https://www.espncricinfo.com/series/8048/scorecard/1254103/rajasthan-royals-vs-royal-challengers-bangalore-43rd-match-indian-premier-league-2021,RR,149/9 (20 ov),RCB,153/3 (17.1/20 ov),Royal Challengers Bengaluru won by 7 wickets (with 17 balls remaining)
44,Sep 30,https://www.espncricinfo.com/series/8048/scorecard/1254091/sunrisers-hyderabad-vs-chennai-super-kings-44th-match-indian-premier-league-2021,SRH,134/7 (20 ov),CSK,139/4 (19.4/20 ov),Chennai Super Kings won by 6 wickets (with 2 balls remaining)
45,Oct 1,https://www.espncricinfo.com/series/8048/scorecard/1254102/kolkata-knight-riders-vs-punjab-kings-45th-match-indian-premier-league-2021,KKR,165/7 (20 ov),PBKS,168/5 (19.3/20 ov),Punjab Kings won by 5 wickets (with 3 balls remaining)
46,Oct 2,https://www.espncricinfo.com/series/8048/scorecard/1254112/mumbai-indians-vs-delhi-capitals-46th-match-indian-premier-league-2021,MI,129/8 (20 ov),DC,132/6 (19.1/20 ov),Delhi Capitals won by 4 wickets (with 5 balls remaining)
47,Oct 2,https://www.espncricinfo.com/series/8048/scorecard/1254089/rajasthan-royals-vs-chennai-super-kings-47th-match-indian-premier-league-2021,CSK,189/4 (20 ov),RR,190/3 (17.3/20 ov),Rajasthan Royals won by 7 wickets (with 15 balls remaining)
48,Oct 3,https://www.espncricinfo.com/series/8048/scorecard/1254090/royal-challengers-bangalore-vs-punjab-kings-48th-match-indian-premier-league-2021,RCB,164/7 (20 ov),PBKS,158/6 (20 ov),Royal Challengers Bengaluru won by 6 runs
49,Oct 3,https://www.espncricinfo.com/series/8048/scorecard/1254109/kolkata-knight-riders-vs-sunrisers-hyderabad-49th-match-indian-premier-league-2021,SRH,115/8 (20 ov),KKR,119/4 (19.4/20 ov),Kolkata Knight Riders won by 6 wickets (with 2 balls remaining)
50,Oct 4,https://www.espncricinfo.com/series/8048/scorecard/1254110/delhi-capitals-vs-chennai-super-kings-50th-match-indian-premier-league-2021,CSK,136/5 (20 ov),DC,139/7 (19.4/20 ov),Delhi Capitals won by 3 wickets (with 2 balls remaining)
51,Oct 5,https://www.espncricinfo.com/series/8048/scorecard/1254093/rajasthan-royals-vs-mumbai-indians-51st-match-indian-premier-league-2021,RR,90/9 (20 ov),MI,94/2 (8.2/20 ov),Mumbai Indians won by 8 wickets (with 70 balls remaining)
52,Oct 6,https://www.espncricinfo.com/series/8048/scorecard/1254095/royal-challengers-bangalore-vs-sunrisers-hyderabad-52nd-match-indian-premier-league-2021,SRH,141/7 (20 ov),RCB,137/6 (20 ov),Sunrisers Hyderabad won by 4 runs
53,Oct 7,https://www.espncricinfo.com/series/8048/scorecard/1254094/chennai-super-kings-vs-punjab-kings-53rd-match-indian-premier-league-2021,CSK,134/6 (20 ov),PBKS,139/4 (13/20 ov),Punjab Kings won by 6 wickets (with 42 balls remaining)
54,Oct 7,https://www.espncricinfo.com/series/8048/scorecard/1254106/kolkata-knight-riders-vs-rajasthan-royals-54th-match-indian-premier-league-2021,KKR,171/4 (20 ov),RR,85 (16.1/20 ov),Kolkata Knight Riders won by 86 runs
55,Oct 8,https://www.espncricinfo.com/series/8048/scorecard/1254088/sunrisers-hyderabad-vs-mumbai-indians-55th-match-indian-premier-league-2021,MI,235/9 (20 ov),SRH,193/8 (20 ov),Mumbai Indians won by 42 runs
56,Oct 8,https://www.espncricinfo.com/series/8048/scorecard/1254101/royal-challengers-bangalore-vs-delhi-capitals-56th-match-indian-premier-league-2021,DC,164/5 (20 ov),RCB,166/3 (20 ov),Royal Challengers Bengaluru won by 7 wickets (with 0 balls remaining)
57,Oct 10,https://www.espncricinfo.com/series/8048/scorecard/1254114/delhi-capitals-vs-chennai-super-kings-qualifier-1-indian-premier-league-2021,DC,172/5 (20 ov),CSK,173/6 (19.4/20 ov),Chennai Super Kings won by 4 wickets (with 2 balls remaining)
58,Oct 11,https://www.espncricinfo.com/series/8048/scorecard/1254115/royal-challengers-bangalore-vs-kolkata-knight-riders-eliminator-indian-premier-league-2021,RCB,138/7 (20 ov),KKR,139/6 (19.4/20 ov),Kolkata Knight Riders won by 4 wickets (with 2 balls remaining)
59,Oct 13,https://www.espncricinfo.com/series/8048/scorecard/1254116/delhi-capitals-vs-kolkata-knight-riders-qualifier-2-indian-premier-league-2021,DC,135/5 (20 ov),KKR,136/7 (19.5/20 ov),Kolkata Knight Riders won by 3 wickets (with 1 ball remaining)
60,Oct 15,https://www.espncricinfo.com/series/8048/scorecard/1254117/chennai-super-kings-vs-kolkata-knight-riders-final-indian-premier-league-2021,CSK,192/3 (20 ov),KKR,165/9 (20 ov),Chennai Super Kings won by 27 runs
