match_number,match_date,match_link,first_inn_team,first_inn_score,second_inn_team,second_inn_score,match_result
1,Mar 26,https://www.espncricinfo.com/series/8048/scorecard/1304047/chennai-super-kings-vs-kolkata-knight-riders-1st-match-indian-premier-league-2022,CSK,131/5 (20 ov),KKR,133/4 (18.3/20 ov),Kolkata Knight Riders won by 6 wickets (with 9 balls remaining)
2,Mar 27,https://www.espncricinfo.com/series/8048/scorecard/1304048/delhi-capitals-vs-mumbai-indians-2nd-match-indian-premier-league-2022,MI,177/5 (20 ov),DC,179/6 (18.2/20 ov),Delhi Capitals won by 4 wickets (with 10 balls remaining)
3,Mar 27,https://www.espncricinfo.com/series/8048/scorecard/1304049/punjab-kings-vs-royal-challengers-bangalore-3rd-match-indian-premier-league-2022,RCB,205/2 (20 ov),PBKS,208/5 (19/20 ov),Punjab Kings won by 5 wickets (with 6 balls remaining)
4,Mar 28,https://www.espncricinfo.com/series/8048/scorecard/1304050/gujarat-titans-vs-lucknow-super-giants-4th-match-indian-premier-league-2022,LSG,158/6 (20 ov),GT,161/5 (19.4/20 ov),Gujarat Titans won by 5 wickets (with 2 balls remaining)
5,Mar 29,https://www.espncricinfo.com/series/8048/scorecard/1304051/sunrisers-hyderabad-vs-rajasthan-royals-5th-match-indian-premier-league-2022,RR,210/6 (20 ov),SRH,149/7 (20 ov),Rajasthan Royals won by 61 runs
6,Mar 30,https://www.espncricinfo.com/series/8048/scorecard/1304052/royal-challengers-bangalore-vs-kolkata-knight-riders-6th-match-indian-premier-league-2022,KKR,128 (18.5/20 ov),RCB,132/7 (19.2/20 ov),Royal Challengers Bengaluru won by 3 wickets (with 4 balls remaining)
7,Mar 31,https://www.espncricinfo.com/series/8048/scorecard/1304053/lucknow-super-giants-vs-chennai-super-kings-7th-match-indian-premier-league-2022,CSK,210/7 (20 ov),LSG,211/4 (19.3/20 ov),Lucknow Super Giants won by 6 wickets (with 3 balls remaining)
8,Apr 1,https://www.espncricinfo.com/series/8048/scorecard/1304054/kolkata-knight-riders-vs-punjab-kings-8th-match-indian-premier-league-2022,PBKS,137 (18.2/20 ov),KKR,141/4 (14.3/20 ov),Kolkata Knight Riders won by 6 wickets (with 33 balls remaining)
9,Apr 2,https://www.espncricinfo.com/series/8048/scorecard/1304055/mumbai-indians-vs-rajasthan-royals-9th-match-indian-premier-league-2022,RR,193/8 (20 ov),MI,170/8 (20 ov),Rajasthan Royals won by 23 runs
10,Apr 2,https://www.espncricinfo.com/series/8048/scorecard/1304056/gujarat-titans-vs-delhi-capitals-10th-match-indian-premier-league-2022,GT,171/6 (20 ov),DC,157/9 (20 ov),Gujarat Titans won by 14 runs
11,Apr 3,https://www.espncricinfo.com/series/8048/scorecard/1304057/chennai-super-kings-vs-punjab-kings-11th-match-indian-premier-league-2022,PBKS,180/8 (20 ov),CSK,126 (18/20 ov),Punjab Kings won by 54 runs
12,Apr 4,https://www.espncricinfo.com/series/8048/scorecard/1304058/sunrisers-hyderabad-vs-lucknow-super-giants-12th-match-indian-premier-league-2022,LSG,169/7 (20 ov),SRH,157/9 (20 ov),Lucknow Super Giants won by 12 runs
13,Apr 5,https://www.espncricinfo.com/series/8048/scorecard/1304059/rajasthan-royals-vs-royal-challengers-bangalore-13th-match-indian-premier-league-2022,RR,169/3 (20 ov),RCB,173/6 (19.1/20 ov),Royal Challengers Bengaluru won by 4 wickets (with 5 balls remaining)
14,Apr 6,https://www.espncricinfo.com/series/8048/scorecard/1304060/kolkata-knight-riders-vs-mumbai-indians-14th-match-indian-premier-league-2022,MI,161/4 (20 ov),KKR,162/5 (16/20 ov),Kolkata Knight Riders won by 5 wickets (with 24 balls remaining)
15,Apr 7,https://www.espncricinfo.com/series/8048/scorecard/1304061/lucknow-super-giants-vs-delhi-capitals-15th-match-indian-premier-league-2022,DC,149/3 (20 ov),LSG,155/4 (19.4/20 ov),Lucknow Super Giants won by 6 wickets (with 2 balls remaining)
16,Apr 8,https://www.espncricinfo.com/series/8048/scorecard/1304062/punjab-kings-vs-gujarat-titans-16th-match-indian-premier-league-2022,PBKS,189/9 (20 ov),GT,190/4 (20 ov),Gujarat Titans won by 6 wickets (with 0 balls remaining)
17,Apr 9,https://www.espncricinfo.com/series/8048/scorecard/1304063/chennai-super-kings-vs-sunrisers-hyderabad-17th-match-indian-premier-league-2022,CSK,154/7 (20 ov),SRH,155/2 (17.4/20 ov),Sunrisers Hyderabad won by 8 wickets (with 14 balls remaining)
18,Apr 9,https://www.espncricinfo.com/series/8048/scorecard/1304064/royal-challengers-bangalore-vs-mumbai-indians-18th-match-indian-premier-league-2022,MI,151/6 (20 ov),RCB,152/3 (18.3/20 ov),Royal Challengers Bengaluru won by 7 wickets (with 9 balls remaining)
19,Apr 10,https://www.espncricinfo.com/series/8048/scorecard/1304065/kolkata-knight-riders-vs-delhi-capitals-19th-match-indian-premier-league-2022,DC,215/5 (20 ov),KKR,171 (19.4/20 ov),Delhi Capitals won by 44 runs
20,Apr 10,https://www.espncricinfo.com/series/8048/scorecard/1304066/rajasthan-royals-vs-lucknow-super-giants-20th-match-indian-premier-league-2022,RR,165/6 (20 ov),LSG,162/8 (20 ov),Rajasthan Royals won by 3 runs
21,Apr 11,https://www.espncricinfo.com/series/8048/scorecard/1304067/sunrisers-hyderabad-vs-gujarat-titans-21st-match-indian-premier-league-2022,GT,162/7 (20 ov),SRH,168/2 (19.1/20 ov),Sunrisers Hyderabad won by 8 wickets (with 5 balls remaining)
