match_number,match_date,match_link,first_inn_team,first_inn_score,second_inn_team,second_inn_score,match_result
22,Apr 12,https://www.espncricinfo.com/series/8048/scorecard/1304068/chennai-super-kings-vs-royal-challengers-bangalore-22nd-match-indian-premier-league-2022,CSK,216/4 (20 ov),RCB,193/9 (20 ov),Chennai Super Kings won by 23 runs
23,Apr 13,https://www.espncricinfo.com/series/8048/scorecard/1304069/mumbai-indians-vs-punjab-kings-23rd-match-indian-premier-league-2022,PBKS,198/5 (20 ov),MI,186/9 (20 ov),Punjab Kings won by 12 runs
24,Apr 14,https://www.espncricinfo.com/series/8048/scorecard/1304070/rajasthan-royals-vs-gujarat-titans-24th-match-indian-premier-league-2022,GT,192/4 (20 ov),RR,155/9 (20 ov),Gujarat Titans won by 37 runs
25,Apr 15,https://www.espncricinfo.com/series/8048/scorecard/1304071/sunrisers-hyderabad-vs-kolkata-knight-riders-25th-match-indian-premier-league-2022,KKR,175/8 (20 ov),SRH,176/3 (17.5/20 ov),Sunrisers Hyderabad won by 7 wickets (with 13 balls remaining)
26,Apr 16,https://www.espncricinfo.com/series/8048/scorecard/1304072/mumbai-indians-vs-lucknow-super-giants-26th-match-indian-premier-league-2022,LSG,199/4 (20 ov),MI,181/9 (20 ov),Lucknow Super Giants won by 18 runs
27,Apr 16,https://www.espncricinfo.com/series/8048/scorecard/1304073/delhi-capitals-vs-royal-challengers-bangalore-27th-match-indian-premier-league-2022,RCB,189/5 (20 ov),DC,173/7 (20 ov),Royal Challengers Bengaluru won by 16 runs
28,Apr 17,https://www.espncricinfo.com/series/8048/scorecard/1304074/punjab-kings-vs-sunrisers-hyderabad-28th-match-indian-premier-league-2022,PBKS,151 (20 ov),SRH,152/3 (18.5/20 ov),Sunrisers Hyderabad won by 7 wickets (with 7 balls remaining)
29,Apr 17,https://www.espncricinfo.com/series/8048/scorecard/1304075/gujarat-titans-vs-chennai-super-kings-29th-match-indian-premier-league-2022,CSK,169/5 (20 ov),GT,170/7 (19.5/20 ov),Gujarat Titans won by 3 wickets (with 1 ball remaining)
30,Apr 18,https://www.espncricinfo.com/series/8048/scorecard/1304076/rajasthan-royals-vs-kolkata-knight-riders-30th-match-indian-premier-league-2022,RR,217/5 (20 ov),KKR,210 (19.4/20 ov),Rajasthan Royals won by 7 runs
31,Apr 19,https://www.espncricinfo.com/series/8048/scorecard/1304077/lucknow-super-giants-vs-royal-challengers-bangalore-31st-match-indian-premier-league-2022,RCB,181/6 (20 ov),LSG,163/8 (20 ov),Royal Challengers Bengaluru won by 18 runs
32,Apr 20,https://www.espncricinfo.com/series/8048/scorecard/1304078/delhi-capitals-vs-punjab-kings-32nd-match-indian-premier-league-2022,PBKS,115 (20 ov),DC,119/1 (10.3/20 ov),Delhi Capitals won by 9 wickets (with 57 balls remaining)
33,Apr 21,https://www.espncricinfo.com/series/8048/scorecard/1304079/mumbai-indians-vs-chennai-super-kings-33rd-match-indian-premier-league-2022,MI,155/7 (20 ov),CSK,156/7 (20 ov),Chennai Super Kings won by 3 wickets (with 0 balls remaining)
34,Apr 22,https://www.espncricinfo.com/series/8048/scorecard/1304080/delhi-capitals-vs-rajasthan-royals-34th-match-indian-premier-league-2022,RR,222/2 (20 ov),DC,207/8 (20 ov),Rajasthan Royals won by 15 runs
35,Apr 23,https://www.espncricinfo.com/series/8048/scorecard/1304081/kolkata-knight-riders-vs-gujarat-titans-35th-match-indian-premier-league-2022,GT,156/9 (20 ov),KKR,148/8 (20 ov),Gujarat Titans won by 8 runs
36,Apr 23,https://www.espncricinfo.com/series/8048/scorecard/1304082/royal-challengers-bangalore-vs-sunrisers-hyderabad-36th-match-indian-premier-league-2022,RCB,68 (16.1/20 ov),SRH,72/1 (8/20 ov),Sunrisers Hyderabad won by 9 wickets (with 72 balls remaining)
37,Apr 24,https://www.espncricinfo.com/series/8048/scorecard/1304083/lucknow-super-giants-vs-mumbai-indians-37th-match-indian-premier-league-2022,LSG,168/6 (20 ov),MI,132/8 (20 ov),Lucknow Super Giants won by 36 runs
38,Apr 25,https://www.espncricinfo.com/series/8048/scorecard/1304084/punjab-kings-vs-chennai-super-kings-38th-match-indian-premier-league-2022,PBKS,187/4 (20 ov),CSK,176/6 (20 ov),Punjab Kings won by 11 runs
39,Apr 26,https://www.espncricinfo.com/series/8048/scorecard/1304085/royal-challengers-bangalore-vs-rajasthan-royals-39th-match-indian-premier-league-2022,RR,144/8 (20 ov),RCB,115 (19.3/20 ov),Rajasthan Royals won by 29 runs
40,Apr 27,https://www.espncricinfo.com/series/8048/scorecard/1304086/gujarat-titans-vs-sunrisers-hyderabad-40th-match-indian-premier-league-2022,SRH,195/6 (20 ov),GT,199/5 (20 ov),Gujarat Titans won by 5 wickets (with 0 balls remaining)
41,Apr 28,https://www.espncricinfo.com/series/8048/scorecard/1304087/delhi-capitals-vs-kolkata-knight-riders-41st-match-indian-premier-league-2022,KKR,146/9 (20 ov),DC,150/6 (19/20 ov),Delhi Capitals won by 4 wickets (with 6 balls remaining)
42,Apr 29,https://www.espncricinfo.com/series/8048/scorecard/1304088/punjab-kings-vs-lucknow-super-giants-42nd-match-indian-premier-league-2022,LSG,153/8 (20 ov),PBKS,133/8 (20 ov),Lucknow Super Giants won by 20 runs
43,Apr 30,https://www.espncricinfo.com/series/8048/scorecard/1304089/gujarat-titans-vs-royal-challengers-bangalore-43rd-match-indian-premier-league-2022,RCB,170/6 (20 ov),GT,174/4 (19.3/20 ov),Gujarat Titans won by 6 wickets (with 3 balls remaining)
44,Apr 30,https://www.espncricinfo.com/series/8048/scorecard/1304090/rajasthan-royals-vs-mumbai-indians-44th-match-indian-premier-league-2022,RR,158/6 (20 ov),MI,161/5 (19.2/20 ov),Mumbai Indians won by 5 wickets (with 4 balls remaining)
45,May 1,https://www.espncricinfo.com/series/8048/scorecard/1304091/delhi-capitals-vs-lucknow-super-giants-45th-match-indian-premier-league-2022,LSG,195/3 (20 ov),DC,189/7 (20 ov),Lucknow Super Giants won by 6 runs
46,May 1,https://www.espncricinfo.com/series/8048/scorecard/1304092/sunrisers-hyderabad-vs-chennai-super-kings-46th-match-indian-premier-league-2022,CSK,202/2 (20 ov),SRH,189/6 (20 ov),Chennai Super Kings won by 13 runs
47,May 2,https://www.espncricinfo.com/series/8048/scorecard/1304093/kolkata-knight-riders-vs-rajasthan-royals-47th-match-indian-premier-league-2022,RR,152/5 (20 ov),KKR,158/3 (19.1/20 ov),Kolkata Knight Riders won by 7 wickets (with 5 balls remaining)
48,May 3,https://www.espncricinfo.com/series/8048/scorecard/1304094/gujarat-titans-vs-punjab-kings-48th-match-indian-premier-league-2022,GT,143/8 (20 ov),PBKS,145/2 (16/20 ov),Punjab Kings won by 8 wickets (with 24 balls remaining)
49,May 4,https://www.espncricinfo.com/series/8048/scorecard/1304095/royal-challengers-bangalore-vs-chennai-super-kings-49th-match-indian-premier-league-2022,RCB,173/8 (20 ov),CSK,160/8 (20 ov),Royal Challengers Bengaluru won by 13 runs
50,May 5,https://www.espncricinfo.com/series/8048/scorecard/1304096/delhi-capitals-vs-sunrisers-hyderabad-50th-match-indian-premier-league-2022,DC,207/3 (20 ov),SRH,186/8 (20 ov),Delhi Capitals won by 21 runs
51,May 6,https://www.espncricinfo.com/series/8048/scorecard/1304097/gujarat-titans-vs-mumbai-indians-51st-match-indian-premier-league-2022,MI,177/6 (20 ov),GT,172/5 (20 ov),Mumbai Indians won by 5 runs
52,May 7,https://www.espncricinfo.com/series/8048/scorecard/1304098/punjab-kings-vs-rajasthan-royals-52nd-match-indian-premier-league-2022,PBKS,189/5 (20 ov),RR,190/4 (19.4/20 ov),Rajasthan Royals won by 6 wickets (with 2 balls remaining)
53,May 7,https://www.espncricinfo.com/series/8048/scorecard/1304099/lucknow-super-giants-vs-kolkata-knight-riders-53rd-match-indian-premier-league-2022,LSG,176/7 (20 ov),KKR,101 (14.3/20 ov),Lucknow Super Giants won by 75 runs
54,May 8,https://www.espncricinfo.com/series/8048/scorecard/1304100/sunrisers-hyderabad-vs-royal-challengers-bangalore-54th-match-indian-premier-league-2022,RCB,192/3 (20 ov),SRH,125 (19.2/20 ov),Royal Challengers Bengaluru won by 67 runs
55,May 8,https://www.espncricinfo.com/series/8048/scorecard/1304101/chennai-super-kings-vs-delhi-capitals-55th-match-indian-premier-league-2022,CSK,208/6 (20 ov),DC,117 (17.4/20 ov),Chennai Super Kings won by 91 runs
56,May 9,https://www.espncricinfo.com/series/8048/scorecard/1304102/mumbai-indians-vs-kolkata-knight-riders-56th-match-indian-premier-league-2022,KKR,165/9 (20 ov),MI,113 (17.3/20 ov),Kolkata Knight Riders won by 52 runs
57,May 10,https://www.espncricinfo.com/series/8048/scorecard/1304103/lucknow-super-giants-vs-gujarat-titans-57th-match-indian-premier-league-2022,GT,144/4 (20 ov),LSG,82 (13.5/20 ov),Gujarat Titans won by 62 runs
58,May 11,https://www.espncricinfo.com/series/8048/scorecard/1304104/rajasthan-royals-vs-delhi-capitals-58th-match-indian-premier-league-2022,RR,160/6 (20 ov),DC,161/2 (18.1/20 ov),Delhi Capitals won by 8 wickets (with 11 balls remaining)
59,May 12,https://www.espncricinfo.com/series/8048/scorecard/1304105/chennai-super-kings-vs-mumbai-indians-59th-match-indian-premier-league-2022,CSK,97 (16/20 ov),MI,103/5 (14.5/20 ov),Mumbai Indians won by 5 wickets (with 31 balls remaining)
60,May 13,https://www.espncricinfo.com/series/8048/scorecard/1304106/royal-challengers-bangalore-vs-punjab-kings-60th-match-indian-premier-league-2022,PBKS,209/9 (20 ov),RCB,155/9 (20 ov),Punjab Kings won by 54 runs
61,May 14,https://www.espncricinfo.com/series/8048/scorecard/1304107/kolkata-knight-riders-vs-sunrisers-hyderabad-61st-match-indian-premier-league-2022,KKR,177/6 (20 ov),SRH,123/8 (20 ov),Kolkata Knight Riders won by 54 runs
62,May 15,https://www.espncricinfo.com/series/8048/scorecard/1304108/chennai-super-kings-vs-gujarat-titans-62nd-match-indian-premier-league-2022,CSK,133/5 (20 ov),GT,137/3 (19.1/20 ov),Gujarat Titans won by 7 wickets (with 5 balls remaining)
63,May 15,https://www.espncricinfo.com/series/8048/scorecard/1304109/lucknow-super-giants-vs-rajasthan-royals-63rd-match-indian-premier-league-2022,RR,178/6 (20 ov),LSG,154/8 (20 ov),Rajasthan Royals won by 24 runs
64,May 16,https://www.espncricinfo.com/series/8048/scorecard/1304110/punjab-kings-vs-delhi-capitals-64th-match-indian-premier-league-2022,DC,159/7 (20 ov),PBKS,142/9 (20 ov),Delhi Capitals won by 17 runs
65,May 17,https://www.espncricinfo.com/series/8048/scorecard/1304111/mumbai-indians-vs-sunrisers-hyderabad-65th-match-indian-premier-league-2022,SRH,193/6 (20 ov),MI,190/7 (20 ov),Sunrisers Hyderabad won by 3 runs
66,May 18,https://www.espncricinfo.com/series/8048/scorecard/1304112/kolkata-knight-riders-vs-lucknow-super-giants-66th-match-indian-premier-league-2022,LSG,210/0 (20 ov),KKR,208/8 (20 ov),Lucknow Super Giants won by 2 runs
67,May 19,https://www.espncricinfo.com/series/8048/scorecard/1304113/royal-challengers-bangalore-vs-gujarat-titans-67th-match-indian-premier-league-2022,GT,168/5 (20 ov),RCB,170/2 (18.4/20 ov),Royal Challengers Bengaluru won by 8 wickets (with 8 balls remaining)
68,May 20,https://www.espncricinfo.com/series/8048/scorecard/1304114/rajasthan-royals-vs-chennai-super-kings-68th-match-indian-premier-league-2022,CSK,150/6 (20 ov),RR,151/5 (19.4/20 ov),Rajasthan Royals won by 5 wickets (with 2 balls remaining)
69,May 21,https://www.espncricinfo.com/series/8048/scorecard/1304115/mumbai-indians-vs-delhi-capitals-69th-match-indian-premier-league-2022,DC,159/7 (20 ov),MI,160/5 (19.1/20 ov),Mumbai Indians won by 5 wickets (with 5 balls remaining)
70,May 22,https://www.espncricinfo.com/series/8048/scorecard/1304116/sunrisers-hyderabad-vs-punjab-kings-70th-match-indian-premier-league-2022,SRH,157/8 (20 ov),PBKS,160/5 (15.1/20 ov),Punjab Kings won by 5 wickets (with 29 balls remaining)
71,May 24,https://www.espncricinfo.com/series/8048/scorecard/1312197/gujarat-titans-vs-rajasthan-royals-qualifier-1-indian-premier-league-2022,RR,188/6 (20 ov),GT,191/3 (19.3/20 ov),Gujarat Titans won by 7 wickets (with 3 balls remaining)
72,May 25,https://www.espncricinfo.com/series/8048/scorecard/1312198/lucknow-super-giants-vs-royal-challengers-bangalore-eliminator-indian-premier-league-2022,RCB,207/4 (20 ov),LSG,193/6 (20 ov),Royal Challengers Bengaluru won by 14 runs
73,May 27,https://www.espncricinfo.com/series/8048/scorecard/1312199/rajasthan-royals-vs-royal-challengers-bangalore-qualifier-2-indian-premier-league-2022,RCB,157/8 (20 ov),RR,161/3 (18.1/20 ov),Rajasthan Royals won by 7 wickets (with 11 balls remaining)
74,May 29,https://www.espncricinfo.com/series/8048/scorecard/1312200/gujarat-titans-vs-rajasthan-royals-final-indian-premier-league-2022,RR,130/9 (20 ov),GT,133/3 (18.1/20 ov),Gujarat Titans won by 7 wickets (with 11 balls remaining)
