match_number,match_date,match_link,first_inn_team,first_inn_score,second_inn_team,second_inn_score,match_result
39,May 7,https://www.espncricinfo.com/series/8048/scorecard/1136599/sunrisers-hyderabad-vs-royal-challengers-bangalore-39th-match-indian-premier-league-2018,SRH,146 (20 ov),RCB,141/6 (20 ov),Sunrisers Hyderabad won by 5 runs
40,May 8,https://www.espncricinfo.com/series/8048/scorecard/1136600/rajasthan-royals-vs-kings-xi-punjab-40th-match-indian-premier-league-2018,RR,158/8 (20 ov),PBKS,143/7 (20 ov),Rajasthan Royals won by 15 runs
41,May 9,https://www.espncricinfo.com/series/8048/scorecard/1136601/kolkata-knight-riders-vs-mumbai-indians-41st-match-indian-premier-league-2018,MI,210/6 (20 ov),KKR,108 (18.1/20 ov),Mumbai Indians won by 102 runs
42,May 10,https://www.espncricinfo.com/series/8048/scorecard/1136602/delhi-daredevils-vs-sunrisers-hyderabad-42nd-match-indian-premier-league-2018,DC,187/5 (20 ov),SRH,191/1 (18.5/20 ov),Sunrisers Hyderabad won by 9 wickets (with 7 balls remaining)
43,May 11,https://www.espncricinfo.com/series/8048/scorecard/1136603/rajasthan-royals-vs-chennai-super-kings-43rd-match-indian-premier-league-2018,CSK,176/4 (20 ov),RR,177/6 (19.5/20 ov),Rajasthan Royals won by 4 wickets (with 1 ball remaining)
44,May 12,https://www.espncricinfo.com/series/8048/scorecard/1136604/kings-xi-punjab-vs-kolkata-knight-riders-44th-match-indian-premier-league-2018,KKR,245/6 (20 ov),PBKS,214/8 (20 ov),Kolkata Knight Riders won by 31 runs
45,May 12,https://www.espncricinfo.com/series/8048/scorecard/1136605/delhi-daredevils-vs-royal-challengers-bangalore-45th-match-indian-premier-league-2018,DC,181/4 (20 ov),RCB,187/5 (19/20 ov),Royal Challengers Bengaluru won by 5 wickets (with 6 balls remaining)
46,May 13,https://www.espncricinfo.com/series/8048/scorecard/1136606/chennai-super-kings-vs-sunrisers-hyderabad-46th-match-indian-premier-league-2018,SRH,179/4 (20 ov),CSK,180/2 (19/20 ov),Chennai Super Kings won by 8 wickets (with 6 balls remaining)
47,May 13,https://www.espncricinfo.com/series/8048/scorecard/1136607/mumbai-indians-vs-rajasthan-royals-47th-match-indian-premier-league-2018,MI,168/6 (20 ov),RR,171/3 (18/20 ov),Rajasthan Royals won by 7 wickets (with 12 balls remaining)
48,May 14,https://www.espncricinfo.com/series/8048/scorecard/1136608/kings-xi-punjab-vs-royal-challengers-bangalore-48th-match-indian-premier-league-2018,PBKS,88 (15.1/20 ov),RCB,92/0 (8.1/20 ov),Royal Challengers Bengaluru won by 10 wickets (with 71 balls remaining)
