match_number,match_date,match_link,first_inn_team,first_inn_score,second_inn_team,second_inn_score,match_result
1,Sep 19,https://www.espncricinfo.com/series/8048/scorecard/1216492/mumbai-indians-vs-chennai-super-kings-1st-match-indian-premier-league-2020-21,MI,162/9 (20 ov),CSK,166/5 (19.2/20 ov),Chennai Super Kings won by 5 wickets (with 4 balls remaining)
2,Sep 20,https://www.espncricinfo.com/series/8048/scorecard/1216493/delhi-capitals-vs-kings-xi-punjab-2nd-match-indian-premier-league-2020-21,DC,157/8 (20 ov),PBKS,157/8 (20 ov),Match tied (Delhi Capitals won the one-over eliminator)
3,Sep 21,https://www.espncricinfo.com/series/8048/scorecard/1216534/sunrisers-hyderabad-vs-royal-challengers-bangalore-3rd-match-indian-premier-league-2020-21,RCB,163/5 (20 ov),SRH,153 (19.4/20 ov),Royal Challengers Bengaluru won by 10 runs
4,Sep 22,https://www.espncricinfo.com/series/8048/scorecard/1216496/rajasthan-royals-vs-chennai-super-kings-4th-match-indian-premier-league-2020-21,RR,216/7 (20 ov),CSK,200/6 (20 ov),Rajasthan Royals won by 16 runs
5,Sep 23,https://www.espncricinfo.com/series/8048/scorecard/1216508/kolkata-knight-riders-vs-mumbai-indians-5th-match-indian-premier-league-2020-21,MI,195/5 (20 ov),KKR,146/9 (20 ov),Mumbai Indians won by 49 runs
6,Sep 24,https://www.espncricinfo.com/series/8048/scorecard/1216510/kings-xi-punjab-vs-royal-challengers-bangalore-6th-match-indian-premier-league-2020-21,PBKS,206/3 (20 ov),RCB,109 (17/20 ov),Punjab Kings won by 97 runs
7,Sep 25,https://www.espncricinfo.com/series/8048/scorecard/1216539/chennai-super-kings-vs-delhi-capitals-7th-match-indian-premier-league-2020-21,DC,175/3 (20 ov),CSK,131/7 (20 ov),Delhi Capitals won by 44 runs
8,Sep 26,https://www.espncricinfo.com/series/8048/scorecard/1216545/kolkata-knight-riders-vs-sunrisers-hyderabad-8th-match-indian-premier-league-2020-21,SRH,142/4 (20 ov),KKR,145/3 (18/20 ov),Kolkata Knight Riders won by 7 wickets (with 12 balls remaining)
9,Sep 27,https://www.espncricinfo.com/series/8048/scorecard/1216527/rajasthan-royals-vs-kings-xi-punjab-9th-match-indian-premier-league-2020-21,PBKS,223/2 (20 ov),RR,226/6 (19.3/20 ov),Rajasthan Royals won by 4 wickets (with 3 balls remaining)
10,Sep 28,https://www.espncricinfo.com/series/8048/scorecard/1216547/royal-challengers-bangalore-vs-mumbai-indians-10th-match-indian-premier-league-2020-21,RCB,201/3 (20 ov),MI,201/5 (20 ov),Match tied (Royal Challengers Bengaluru won the one-over eliminator)
11,Sep 29,https://www.espncricinfo.com/series/8048/scorecard/1216532/delhi-capitals-vs-sunrisers-hyderabad-11th-match-indian-premier-league-2020-21,SRH,162/4 (20 ov),DC,147/7 (20 ov),Sunrisers Hyderabad won by 15 runs
12,Sep 30,https://www.espncricinfo.com/series/8048/scorecard/1216504/rajasthan-royals-vs-kolkata-knight-riders-12th-match-indian-premier-league-2020-21,KKR,174/6 (20 ov),RR,137/9 (20 ov),Kolkata Knight Riders won by 37 runs
13,Oct 1,https://www.espncricinfo.com/series/8048/scorecard/1216503/kings-xi-punjab-vs-mumbai-indians-13th-match-indian-premier-league-2020-21,MI,191/4 (20 ov),PBKS,143/8 (20 ov),Mumbai Indians won by 48 runs
14,Oct 2,https://www.espncricinfo.com/series/8048/scorecard/1216516/chennai-super-kings-vs-sunrisers-hyderabad-14th-match-indian-premier-league-2020-21,SRH,164/5 (20 ov),CSK,157/5 (20 ov),Sunrisers Hyderabad won by 7 runs
15,Oct 3,https://www.espncricinfo.com/series/8048/scorecard/1216514/royal-challengers-bangalore-vs-rajasthan-royals-15th-match-indian-premier-league-2020-21,RR,154/6 (20 ov),RCB,158/2 (19.1/20 ov),Royal Challengers Bengaluru won by 8 wickets (with 5 balls remaining)
16,Oct 3,https://www.espncricinfo.com/series/8048/scorecard/1216515/delhi-capitals-vs-kolkata-knight-riders-16th-match-indian-premier-league-2020-21,DC,228/4 (20 ov),KKR,210/8 (20 ov),Delhi Capitals won by 18 runs
17,Oct 4,https://www.espncricinfo.com/series/8048/scorecard/1216538/mumbai-indians-vs-sunrisers-hyderabad-17th-match-indian-premier-league-2020-21,MI,208/5 (20 ov),SRH,174/7 (20 ov),Mumbai Indians won by 34 runs
18,Oct 4,https://www.espncricinfo.com/series/8048/scorecard/1216513/kings-xi-punjab-vs-chennai-super-kings-18th-match-indian-premier-league-2020-21,PBKS,178/4 (20 ov),CSK,181/0 (17.4/20 ov),Chennai Super Kings won by 10 wickets (with 14 balls remaining)
19,Oct 5,https://www.espncricinfo.com/series/8048/scorecard/1216519/royal-challengers-bangalore-vs-delhi-capitals-19th-match-indian-premier-league-2020-21,DC,196/4 (20 ov),RCB,137/9 (20 ov),Delhi Capitals won by 59 runs
20,Oct 6,https://www.espncricinfo.com/series/8048/scorecard/1216511/mumbai-indians-vs-rajasthan-royals-20th-match-indian-premier-league-2020-21,MI,193/4 (20 ov),RR,136 (18.1/20 ov),Mumbai Indians won by 57 runs
