match_number,match_date,match_link,first_inn_team,first_inn_score,second_inn_team,second_inn_score,match_result
1,Mar 31,https://www.espncricinfo.com/series/8048/scorecard/1359475/gujarat-titans-vs-chennai-super-kings-1st-match-indian-premier-league-2023,CSK,178/7 (20 ov),GT,182/5 (19.2/20 ov),Gujarat Titans won by 5 wickets (with 4 balls remaining)
2,Apr 1,https://www.espncricinfo.com/series/8048/scorecard/1359476/punjab-kings-vs-kolkata-knight-riders-2nd-match-indian-premier-league-2023,PBKS,191/5 (20 ov),KKR,"146/7 (16 ov, target: 154)",Punjab Kings won by 7 runs (DLS method)
3,Apr 1,https://www.espncricinfo.com/series/8048/scorecard/1359477/lucknow-super-giants-vs-delhi-capitals-3rd-match-indian-premier-league-2023,LSG,193/6 (20 ov),DC,143/9 (20 ov),Lucknow Super Giants won by 50 runs
4,Apr 2,https://www.espncricinfo.com/series/8048/scorecard/1359478/sunrisers-hyderabad-vs-rajasthan-royals-4th-match-indian-premier-league-2023,RR,203/5 (20 ov),SRH,131/8 (20 ov),Rajasthan Royals won by 72 runs
5,Apr 2,https://www.espncricinfo.com/series/8048/scorecard/1359479/royal-challengers-bangalore-vs-mumbai-indians-5th-match-indian-premier-league-2023,MI,171/7 (20 ov),RCB,172/2 (16.2/20 ov),Royal Challengers Bengaluru won by 8 wickets (with 22 balls remaining)
6,Apr 3,https://www.espncricinfo.com/series/8048/scorecard/1359480/chennai-super-kings-vs-lucknow-super-giants-6th-match-indian-premier-league-2023,CSK,217/7 (20 ov),LSG,205/7 (20 ov),Chennai Super Kings won by 12 runs
7,Apr 4,https://www.espncricinfo.com/series/8048/scorecard/1359481/delhi-capitals-vs-gujarat-titans-7th-match-indian-premier-league-2023,DC,162/8 (20 ov),GT,163/4 (18.1/20 ov),Gujarat Titans won by 6 wickets (with 11 balls remaining)
8,Apr 5,https://www.espncricinfo.com/series/8048/scorecard/1359482/rajasthan-royals-vs-punjab-kings-8th-match-indian-premier-league-2023,PBKS,197/4 (20 ov),RR,192/7 (20 ov),Punjab Kings won by 5 runs
9,Apr 6,https://www.espncricinfo.com/series/8048/scorecard/1359483/kolkata-knight-riders-vs-royal-challengers-bangalore-9th-match-indian-premier-league-2023,KKR,204/7 (20 ov),RCB,123 (17.4/20 ov),Kolkata Knight Riders won by 81 runs
10,Apr 7,https://www.espncricinfo.com/series/8048/scorecard/1359484/lucknow-super-giants-vs-sunrisers-hyderabad-10th-match-indian-premier-league-2023,SRH,121/8 (20 ov),LSG,127/5 (16/20 ov),Lucknow Super Giants won by 5 wickets (with 24 balls remaining)
11,Apr 8,https://www.espncricinfo.com/series/8048/scorecard/1359485/rajasthan-royals-vs-delhi-capitals-11th-match-indian-premier-league-2023,RR,199/4 (20 ov),DC,142/9 (20 ov),Rajasthan Royals won by 57 runs
12,Apr 8,https://www.espncricinfo.com/series/8048/scorecard/1359486/mumbai-indians-vs-chennai-super-kings-12th-match-indian-premier-league-2023,MI,157/8 (20 ov),CSK,159/3 (18.1/20 ov),Chennai Super Kings won by 7 wickets (with 11 balls remaining)
13,Apr 9,https://www.espncricinfo.com/series/8048/scorecard/1359487/gujarat-titans-vs-kolkata-knight-riders-13th-match-indian-premier-league-2023,GT,204/4 (20 ov),KKR,207/7 (20 ov),Kolkata Knight Riders won by 3 wickets (with 0 balls remaining)
14,Apr 9,https://www.espncricinfo.com/series/8048/scorecard/1359488/sunrisers-hyderabad-vs-punjab-kings-14th-match-indian-premier-league-2023,PBKS,143/9 (20 ov),SRH,145/2 (17.1/20 ov),Sunrisers Hyderabad won by 8 wickets (with 17 balls remaining)
15,Apr 10,https://www.espncricinfo.com/series/8048/scorecard/1359489/royal-challengers-bangalore-vs-lucknow-super-giants-15th-match-indian-premier-league-2023,RCB,212/2 (20 ov),LSG,213/9 (20 ov),Lucknow Super Giants won by 1 wicket (with 0 balls remaining)
16,Apr 11,https://www.espncricinfo.com/series/8048/scorecard/1359490/delhi-capitals-vs-mumbai-indians-16th-match-indian-premier-league-2023,DC,172 (19.4/20 ov),MI,173/4 (20 ov),Mumbai Indians won by 6 wickets (with 0 balls remaining)
17,Apr 12,https://www.espncricinfo.com/series/8048/scorecard/1359491/chennai-super-kings-vs-rajasthan-royals-17th-match-indian-premier-league-2023,RR,175/8 (20 ov),CSK,172/6 (20 ov),Rajasthan Royals won by 3 runs
18,Apr 13,https://www.espncricinfo.com/series/8048/scorecard/1359492/punjab-kings-vs-gujarat-titans-18th-match-indian-premier-league-2023,PBKS,153/8 (20 ov),GT,154/4 (19.5/20 ov),Gujarat Titans won by 6 wickets (with 1 ball remaining)
19,Apr 14,https://www.espncricinfo.com/series/8048/scorecard/1359493/kolkata-knight-riders-vs-sunrisers-hyderabad-19th-match-indian-premier-league-2023,SRH,228/4 (20 ov),KKR,205/7 (20 ov),Sunrisers Hyderabad won by 23 runs
20,Apr 15,https://www.espncricinfo.com/series/8048/scorecard/1359494/royal-challengers-bangalore-vs-delhi-capitals-20th-match-indian-premier-league-2023,RCB,174/6 (20 ov),DC,151/9 (20 ov),Royal Challengers Bengaluru won by 23 runs
21,Apr 15,https://www.espncricinfo.com/series/8048/scorecard/1359495/lucknow-super-giants-vs-punjab-kings-21st-match-indian-premier-league-2023,LSG,159/8 (20 ov),PBKS,161/8 (19.3/20 ov),Punjab Kings won by 2 wickets (with 3 balls remaining)
22,Apr 16,https://www.espncricinfo.com/series/8048/scorecard/1359496/mumbai-indians-vs-kolkata-knight-riders-22nd-match-indian-premier-league-2023,KKR,185/6 (20 ov),MI,186/5 (17.4/20 ov),Mumbai Indians won by 5 wickets (with 14 balls remaining)
23,Apr 16,https://www.espncricinfo.com/series/8048/scorecard/1359497/gujarat-titans-vs-rajasthan-royals-23rd-match-indian-premier-league-2023,GT,177/7 (20 ov),RR,179/7 (19.2/20 ov),Rajasthan Royals won by 3 wickets (with 4 balls remaining)
24,Apr 17,https://www.espncricinfo.com/series/8048/scorecard/1359498/royal-challengers-bangalore-vs-chennai-super-kings-24th-match-indian-premier-league-2023,CSK,226/6 (20 ov),RCB,218/8 (20 ov),Chennai Super Kings won by 8 runs
25,Apr 18,https://www.espncricinfo.com/series/8048/scorecard/1359499/sunrisers-hyderabad-vs-mumbai-indians-25th-match-indian-premier-league-2023,MI,192/5 (20 ov),SRH,178 (19.5/20 ov),Mumbai Indians won by 14 runs
26,Apr 19,https://www.espncricinfo.com/series/8048/scorecard/1359500/rajasthan-royals-vs-lucknow-super-giants-26th-match-indian-premier-league-2023,LSG,154/7 (20 ov),RR,144/6 (20 ov),Lucknow Super Giants won by 10 runs
27,Apr 20,https://www.espncricinfo.com/series/8048/scorecard/1359501/punjab-kings-vs-royal-challengers-bangalore-27th-match-indian-premier-league-2023,RCB,174/4 (20 ov),PBKS,150 (18.2/20 ov),Royal Challengers Bengaluru won by 24 runs
28,Apr 20,https://www.espncricinfo.com/series/8048/scorecard/1359502/delhi-capitals-vs-kolkata-knight-riders-28th-match-indian-premier-league-2023,KKR,127 (20 ov),DC,128/6 (19.2/20 ov),Delhi Capitals won by 4 wickets (with 4 balls remaining)
29,Apr 21,https://www.espncricinfo.com/series/8048/scorecard/1359503/chennai-super-kings-vs-sunrisers-hyderabad-29th-match-indian-premier-league-2023,SRH,134/7 (20 ov),CSK,138/3 (18.4/20 ov),Chennai Super Kings won by 7 wickets (with 8 balls remaining)
30,Apr 22,https://www.espncricinfo.com/series/8048/scorecard/1359504/lucknow-super-giants-vs-gujarat-titans-30th-match-indian-premier-league-2023,GT,135/6 (20 ov),LSG,128/7 (20 ov),Gujarat Titans won by 7 runs
31,Apr 22,https://www.espncricinfo.com/series/8048/scorecard/1359505/mumbai-indians-vs-punjab-kings-31st-match-indian-premier-league-2023,PBKS,214/8 (20 ov),MI,201/6 (20 ov),Punjab Kings won by 13 runs
32,Apr 23,https://www.espncricinfo.com/series/8048/scorecard/1359506/royal-challengers-bangalore-vs-rajasthan-royals-32nd-match-indian-premier-league-2023,RCB,189/9 (20 ov),RR,182/6 (20 ov),Royal Challengers Bengaluru won by 7 runs
33,Apr 23,https://www.espncricinfo.com/series/8048/scorecard/1359507/kolkata-knight-riders-vs-chennai-super-kings-33rd-match-indian-premier-league-2023,CSK,235/4 (20 ov),KKR,186/8 (20 ov),Chennai Super Kings won by 49 runs
34,Apr 24,https://www.espncricinfo.com/series/8048/scorecard/1359508/sunrisers-hyderabad-vs-delhi-capitals-34th-match-indian-premier-league-2023,DC,144/9 (20 ov),SRH,137/6 (20 ov),Delhi Capitals won by 7 runs
35,Apr 25,https://www.espncricinfo.com/series/8048/scorecard/1359509/gujarat-titans-vs-mumbai-indians-35th-match-indian-premier-league-2023,GT,207/6 (20 ov),MI,152/9 (20 ov),Gujarat Titans won by 55 runs
