match_number,match_date,match_link,first_inn_team,first_inn_score,second_inn_team,second_inn_score,match_result
36,Apr 26,https://www.espncricinfo.com/series/8048/scorecard/1359510/royal-challengers-bangalore-vs-kolkata-knight-riders-36th-match-indian-premier-league-2023,KKR,200/5 (20 ov),RCB,179/8 (20 ov),Kolkata Knight Riders won by 21 runs
37,Apr 27,https://www.espncricinfo.com/series/8048/scorecard/1359511/rajasthan-royals-vs-chennai-super-kings-37th-match-indian-premier-league-2023,RR,202/5 (20 ov),CSK,170/6 (20 ov),Rajasthan Royals won by 32 runs
38,Apr 28,https://www.espncricinfo.com/series/8048/scorecard/1359512/punjab-kings-vs-lucknow-super-giants-38th-match-indian-premier-league-2023,LSG,257/5 (20 ov),PBKS,201 (19.5/20 ov),Lucknow Super Giants won by 56 runs
39,Apr 29,https://www.espncricinfo.com/series/8048/scorecard/1359513/kolkata-knight-riders-vs-gujarat-titans-39th-match-indian-premier-league-2023,KKR,179/7 (20 ov),GT,180/3 (17.5/20 ov),Gujarat Titans won by 7 wickets (with 13 balls remaining)
40,Apr 29,https://www.espncricinfo.com/series/8048/scorecard/1359514/delhi-capitals-vs-sunrisers-hyderabad-40th-match-indian-premier-league-2023,SRH,197/6 (20 ov),DC,188/6 (20 ov),Sunrisers Hyderabad won by 9 runs
41,Apr 30,https://www.espncricinfo.com/series/8048/scorecard/1359515/chennai-super-kings-vs-punjab-kings-41st-match-indian-premier-league-2023,CSK,200/4 (20 ov),PBKS,201/6 (20 ov),Punjab Kings won by 4 wickets (with 0 balls remaining)
42,Apr 30,https://www.espncricinfo.com/series/8048/scorecard/1359516/mumbai-indians-vs-rajasthan-royals-42nd-match-indian-premier-league-2023,RR,212/7 (20 ov),MI,214/4 (19.3/20 ov),Mumbai Indians won by 6 wickets (with 3 balls remaining)
43,May 1,https://www.espncricinfo.com/series/8048/scorecard/1359517/lucknow-super-giants-vs-royal-challengers-bangalore-43rd-match-indian-premier-league-2023,RCB,126/9 (20 ov),LSG,108 (19.5/20 ov),Royal Challengers Bengaluru won by 18 runs
44,May 2,https://www.espncricinfo.com/series/8048/scorecard/1359518/gujarat-titans-vs-delhi-capitals-44th-match-indian-premier-league-2023,DC,130/8 (20 ov),GT,125/6 (20 ov),Delhi Capitals won by 5 runs
45,May 3,https://www.espncricinfo.com/series/8048/scorecard/1359519/lucknow-super-giants-vs-chennai-super-kings-45th-match-indian-premier-league-2023,LSG,125/7 (19.2/20 ov),CSK,,No result
46,May 3,https://www.espncricinfo.com/series/8048/scorecard/1359520/punjab-kings-vs-mumbai-indians-46th-match-indian-premier-league-2023,PBKS,214/3 (20 ov),MI,216/4 (18.5/20 ov),Mumbai Indians won by 6 wickets (with 7 balls remaining)
47,May 4,https://www.espncricinfo.com/series/8048/scorecard/1359521/sunrisers-hyderabad-vs-kolkata-knight-riders-47th-match-indian-premier-league-2023,KKR,171/9 (20 ov),SRH,166/8 (20 ov),Kolkata Knight Riders won by 5 runs
48,May 5,https://www.espncricinfo.com/series/8048/scorecard/1359522/rajasthan-royals-vs-gujarat-titans-48th-match-indian-premier-league-2023,RR,118 (17.5/20 ov),GT,119/1 (13.5/20 ov),Gujarat Titans won by 9 wickets (with 37 balls remaining)
49,May 6,https://www.espncricinfo.com/series/8048/scorecard/1359523/chennai-super-kings-vs-mumbai-indians-49th-match-indian-premier-league-2023,MI,139/8 (20 ov),CSK,140/4 (17.4/20 ov),Chennai Super Kings won by 6 wickets (with 14 balls remaining)
50,May 6,https://www.espncricinfo.com/series/8048/scorecard/1359524/delhi-capitals-vs-royal-challengers-bangalore-50th-match-indian-premier-league-2023,RCB,181/4 (20 ov),DC,187/3 (16.4/20 ov),Delhi Capitals won by 7 wickets (with 20 balls remaining)
51,May 7,https://www.espncricinfo.com/series/8048/scorecard/1359525/gujarat-titans-vs-lucknow-super-giants-51st-match-indian-premier-league-2023,GT,227/2 (20 ov),LSG,171/7 (20 ov),Gujarat Titans won by 56 runs
52,May 7,https://www.espncricinfo.com/series/8048/scorecard/1359526/rajasthan-royals-vs-sunrisers-hyderabad-52nd-match-indian-premier-league-2023,RR,214/2 (20 ov),SRH,217/6 (20 ov),Sunrisers Hyderabad won by 4 wickets (with 0 balls remaining)
53,May 8,https://www.espncricinfo.com/series/8048/scorecard/1359527/kolkata-knight-riders-vs-punjab-kings-53rd-match-indian-premier-league-2023,PBKS,179/7 (20 ov),KKR,182/5 (20 ov),Kolkata Knight Riders won by 5 wickets (with 0 balls remaining)
54,May 9,https://www.espncricinfo.com/series/8048/scorecard/1359528/mumbai-indians-vs-royal-challengers-bangalore-54th-match-indian-premier-league-2023,RCB,199/6 (20 ov),MI,200/4 (16.3/20 ov),Mumbai Indians won by 6 wickets (with 21 balls remaining)
55,May 10,https://www.espncricinfo.com/series/8048/scorecard/1359529/chennai-super-kings-vs-delhi-capitals-55th-match-indian-premier-league-2023,CSK,167/8 (20 ov),DC,140/8 (20 ov),Chennai Super Kings won by 27 runs
56,May 11,https://www.espncricinfo.com/series/8048/scorecard/1359530/kolkata-knight-riders-vs-rajasthan-royals-56th-match-indian-premier-league-2023,KKR,149/8 (20 ov),RR,151/1 (13.1/20 ov),Rajasthan Royals won by 9 wickets (with 41 balls remaining)
57,May 12,https://www.espncricinfo.com/series/8048/scorecard/1359531/mumbai-indians-vs-gujarat-titans-57th-match-indian-premier-league-2023,MI,218/5 (20 ov),GT,191/8 (20 ov),Mumbai Indians won by 27 runs
58,May 13,https://www.espncricinfo.com/series/8048/scorecard/1359532/sunrisers-hyderabad-vs-lucknow-super-giants-58th-match-indian-premier-league-2023,SRH,182/6 (20 ov),LSG,185/3 (19.2/20 ov),Lucknow Super Giants won by 7 wickets (with 4 balls remaining)
59,May 13,https://www.espncricinfo.com/series/8048/scorecard/1359533/delhi-capitals-vs-punjab-kings-59th-match-indian-premier-league-2023,PBKS,167/7 (20 ov),DC,136/8 (20 ov),Punjab Kings won by 31 runs
60,May 14,https://www.espncricinfo.com/series/8048/scorecard/1359534/rajasthan-royals-vs-royal-challengers-bangalore-60th-match-indian-premier-league-2023,RCB,171/5 (20 ov),RR,59 (10.3/20 ov),Royal Challengers Bengaluru won by 112 runs
61,May 14,https://www.espncricinfo.com/series/8048/scorecard/1359535/chennai-super-kings-vs-kolkata-knight-riders-61st-match-indian-premier-league-2023,CSK,144/6 (20 ov),KKR,147/4 (18.3/20 ov),Kolkata Knight Riders won by 6 wickets (with 9 balls remaining)
62,May 15,https://www.espncricinfo.com/series/8048/scorecard/1359536/gujarat-titans-vs-sunrisers-hyderabad-62nd-match-indian-premier-league-2023,GT,188/9 (20 ov),SRH,154/9 (20 ov),Gujarat Titans won by 34 runs
63,May 16,https://www.espncricinfo.com/series/8048/scorecard/1359537/lucknow-super-giants-vs-mumbai-indians-63rd-match-indian-premier-league-2023,LSG,177/3 (20 ov),MI,172/5 (20 ov),Lucknow Super Giants won by 5 runs
64,May 17,https://www.espncricinfo.com/series/8048/scorecard/1359538/punjab-kings-vs-delhi-capitals-64th-match-indian-premier-league-2023,DC,213/2 (20 ov),PBKS,198/8 (20 ov),Delhi Capitals won by 15 runs
65,May 18,https://www.espncricinfo.com/series/8048/scorecard/1359539/sunrisers-hyderabad-vs-royal-challengers-bangalore-65th-match-indian-premier-league-2023,SRH,186/5 (20 ov),RCB,187/2 (19.2/20 ov),Royal Challengers Bengaluru won by 8 wickets (with 4 balls remaining)
66,May 19,https://www.espncricinfo.com/series/8048/scorecard/1359540/punjab-kings-vs-rajasthan-royals-66th-match-indian-premier-league-2023,PBKS,187/5 (20 ov),RR,189/6 (19.4/20 ov),Rajasthan Royals won by 4 wickets (with 2 balls remaining)
67,May 20,https://www.espncricinfo.com/series/8048/scorecard/1359541/delhi-capitals-vs-chennai-super-kings-67th-match-indian-premier-league-2023,CSK,223/3 (20 ov),DC,146/9 (20 ov),Chennai Super Kings won by 77 runs
68,May 20,https://www.espncricinfo.com/series/8048/scorecard/1359542/kolkata-knight-riders-vs-lucknow-super-giants-68th-match-indian-premier-league-2023,LSG,176/8 (20 ov),KKR,175/7 (20 ov),Lucknow Super Giants won by 1 run
69,May 21,https://www.espncricinfo.com/series/8048/scorecard/1359543/mumbai-indians-vs-sunrisers-hyderabad-69th-match-indian-premier-league-2023,SRH,200/5 (20 ov),MI,201/2 (18/20 ov),Mumbai Indians won by 8 wickets (with 12 balls remaining)
70,May 21,https://www.espncricinfo.com/series/8048/scorecard/1359544/royal-challengers-bangalore-vs-gujarat-titans-70th-match-indian-premier-league-2023,RCB,197/5 (20 ov),GT,198/4 (19.1/20 ov),Gujarat Titans won by 6 wickets (with 5 balls remaining)
71,May 23,https://www.espncricinfo.com/series/8048/scorecard/1370350/chennai-super-kings-vs-gujarat-titans-qualifier-1-indian-premier-league-2023,CSK,172/7 (20 ov),GT,157 (20 ov),Chennai Super Kings won by 15 runs
72,May 24,https://www.espncricinfo.com/series/8048/scorecard/1370351/lucknow-super-giants-vs-mumbai-indians-eliminator-indian-premier-league-2023,MI,182/8 (20 ov),LSG,101 (16.3/20 ov),Mumbai Indians won by 81 runs
73,May 26,https://www.espncricinfo.com/series/8048/scorecard/1370352/gujarat-titans-vs-mumbai-indians-qualifier-2-indian-premier-league-2023,GT,233/3 (20 ov),MI,171 (18.2/20 ov),Gujarat Titans won by 62 runs
74,May 28-29,https://www.espncricinfo.com/series/8048/scorecard/1370353/gujarat-titans-vs-chennai-super-kings-final-indian-premier-league-2023,GT,214/4 (20 ov),CSK,"171/5 (15 ov, target: 171)",Chennai Super Kings won by 5 wickets (with 0 balls remaining) (DLS method)
